i_manufact_id|total_sales
930|594226.03
944|631181.29
998|650385.48
950|678924.80
774|695625.93
817|701970.21
772|727977.87
975|737315.16
915|748816.06
875|760613.83
863|772800.65
796|773949.54
820|777139.91
953|784283.66
736|786276.73
686|789022.66
969|792560.40
951|805589.54
785|806203.42
925|807393.93
712|815840.65
956|816867.39
701|817413.23
880|818277.40
886|818757.91
881|823997.16
678|829526.07
877|846737.91
943|850581.25
679|850905.28
789|857619.03
681|859520.38
973|866322.52
945|870467.47
739|877050.42
816|877973.20
687|880004.00
768|882134.05
715|886546.28
948|886932.88
729|889145.14
708|893558.00
927|895314.77
919|896705.63
716|898145.30
831|904507.67
957|904532.72
837|908522.13
924|908928.51
791|910812.07
917|912500.29
811|913927.64
865|914274.89
676|917878.62
710|919826.86
935|921794.16
963|922071.57
695|923528.95
815|925603.79
997|925650.03
755|935963.74
907|936418.39
983|938522.89
928|938603.92
730|939663.15
921|940106.45
932|941255.60
778|941632.26
888|942912.70
830|943823.33
728|946005.52
996|953680.24
918|954956.59
906|955179.46
731|956062.05
734|958125.00
682|959008.28
735|961893.16
744|963013.30
819|966552.09
691|967186.75
874|969486.80
909|975859.95
705|976196.51
766|976489.03
968|976894.44
680|977499.79
690|981281.79
971|984114.53
814|987060.60
978|987231.33
849|987759.86
940|992164.11
914|993494.86
821|995746.10
933|996249.96
745|996790.30
836|997063.07
844|997539.56
959|998050.96
