gross_margin|i_category|i_class|lochierarchy|rank_within_parent
-0.4339058330283654|NULL|NULL|2|1
-0.4438201841657588|NULL|NULL|1|1
-0.43592073732355896|Sports|NULL|1|2
-0.43552627659105914|Shoes|NULL|1|3
-0.43497126228189814|Jewelry|NULL|1|4
-0.43477675910082725|Books|NULL|1|5
-0.43361971981361536|Women|NULL|1|6
-0.4334019678214393|Music|NULL|1|7
-0.4328790030678635|Electronics|NULL|1|8
-0.43261934967721605|Children|NULL|1|9
-0.4326001492101692|Home|NULL|1|10
-0.4324854547474751|Men|NULL|1|11
-0.9606948945306623|NULL|fitness|0|1
-0.7252359277201854|NULL|basketball|0|2
-0.7167239014445919|NULL|self-help|0|3
-0.7105893928739191|NULL|bracelets|0|4
-0.7086407327784414|NULL|disk drives|0|5
-0.7074723709483131|NULL|lighting|0|6
-0.6566107177829273|NULL|estate|0|7
-0.6461658337057927|NULL|accent|0|8
-0.5975087409508557|NULL|athletic|0|9
-0.592952514809501|NULL|flatware|0|10
-0.5900611013291925|NULL|memory|0|11
-0.5866295878447645|NULL|computers|0|12
-0.5830086269199363|NULL|custom|0|13
-0.5793352894168206|NULL|glassware|0|14
-0.5621638918862245|NULL|optics|0|15
-0.558177893036601|NULL|infants|0|16
-0.5278568511723005|NULL|pop|0|17
-0.5180449684028026|NULL|karoke|0|18
-0.5107203229827845|NULL|womens|0|19
-0.5068775751312519|NULL|school-uniforms|0|20
-0.5044896606666455|NULL|scanners|0|21
-0.4917182004746103|NULL|tables|0|22
-0.49100990452777754|NULL|earings|0|23
-0.48826117536272734|NULL|musical|0|24
-0.4878621981455822|NULL|pants|0|25
-0.48327262869577386|NULL|newborn|0|26
-0.46261516395173974|NULL|sports-apparel|0|27
-0.4553928712131249|NULL|curtains/drapes|0|28
-0.45469018132555794|NULL|televisions|0|29
-0.45406536975043676|NULL|rock|0|30
-0.4463467396776675|NULL|country|0|31
-0.44245402523953314|NULL|NULL|0|32
-0.44043532344905156|NULL|classical|0|33
-0.43953949422076805|NULL|swimwear|0|34
-0.4331712686909458|NULL|archery|0|35
-0.4330484425612493|NULL|shirts|0|36
-0.4319016769486258|NULL|kids|0|37
-0.42647859916961056|NULL|diamonds|0|38
-0.42597692321252717|NULL|mens|0|39
-0.4242379894778589|NULL|pendants|0|40
-0.4240784185158024|NULL|business|0|41
-0.41906549067583027|NULL|entertainments|0|42
-0.40231065045879516|NULL|travel|0|43
-0.4012676345519408|NULL|science|0|44
-0.3815112391499845|NULL|guns|0|45
-0.3777877135612697|NULL|fragrances|0|46
-0.3695432788498145|NULL|baseball|0|47
-0.3615065037435736|NULL|fishing|0|48
-0.36120105570063094|NULL|semi-precious|0|49
-0.3610278455184308|NULL|toddlers|0|50
-0.35636853263586793|NULL|dresses|0|51
-0.350787191158611|NULL|womens watch|0|52
-0.34793135835753297|NULL|reference|0|53
-0.3415763553653163|NULL|dvd/vcr players|0|54
-0.33680621371898883|NULL|golf|0|55
-0.33441909984286733|NULL|loose stones|0|56
-0.33134309238842663|NULL|monitors|0|57
-0.3223028846906919|NULL|accessories|0|58
-0.31393493003752887|NULL|birdal|0|59
-0.30932281628427566|NULL|camcorders|0|60
-0.299773884006385|NULL|camping|0|61
-0.29937423180668554|NULL|rugs|0|62
-0.2956396103149604|NULL|parenting|0|63
-0.2947477602872003|NULL|stereo|0|64
-0.27454089842227386|NULL|wallpaper|0|65
-0.24860309635397176|NULL|history|0|66
-0.44665553158201665|Books|parenting|0|1
-0.4466354089830649|Books|business|0|2
-0.44191079520019394|Books|travel|0|3
-0.4372875310616074|Books|reference|0|4
-0.4363543690087489|Books|science|0|5
-0.4362169131245426|Books|romance|0|6
-0.4359407386149091|Books|entertainments|0|7
-0.43460613024963674|Books|cooking|0|8
-0.4340240536554741|Books|mystery|0|9
-0.4333394789875593|Books|history|0|10
-0.4314284185331921|Books|sports|0|11
-0.430629990254349|Books|self-help|0|12
-0.42973044100322416|Books|home repair|0|13
-0.4291351889487738|Books|arts|0|14
-0.42848273774656204|Books|fiction|0|15
-0.4262127657338508|Books|computers|0|16
-0.41918321115947565|Books|NULL|0|17
-0.4550763955793029|Children|NULL|0|1
-0.43547800227160316|Children|toddlers|0|2
-0.4325513401782522|Children|newborn|0|3
-0.431841520845401|Children|school-uniforms|0|4
-0.43052818168168333|Children|infants|0|5


