rnk|best_performing|worst_performing
1|ationcallycallycallybarought|esebarcallyeseeing
2|n stprin stprieing|barablecallyationcally
3|antin stn stbarableought|eseantin stcallycally
4|antiantin steingableought|priationn stesen st
5|ationbaroughtantiation|ableantibarbarationought
6|baresecallybareingought|callyprieingbarpriought
7|oughtcallycallyationpri|pricallycallybarcally
8|oughtbarcallyoughtought|eingantiantieseeing
9|oughtantiationpriought|priantieseationeing
10|n stableoughtbarableought|eseesen stcallyoughtought


