ca_zip|ca_city|sum
00794|Avery|102.32
02454|Roscoe|74.23
03603|Hillcrest|10.11
06281|Maywood|2.75
09321|Union|7.15
10534|Crossroads|91.90
14593|Pine Grove|45.28
19127|Mount Vernon|2.21
19391|Riverdale|78.89
20399|Marion|37.97
20702|Springville|51.24
21669|Parkwood|36.85
21675|Waterloo|57.51
21818|Middleton|3.96
22477|Pleasant Valley|36.08
22898|Lebanon|16.99
23372|Birmingham|34.14
23604|Pleasant Hill|180.16
24244|Ashland|0.00
24602|Springhill|179.64
25804|Harmony|47.19
26060|Spring Valley|54.74
26557|Arlington|3.47
27066|Lewis|135.42
27752|Walnut Grove|6.64
28222|Clinton|12.14
28371|Oak Ridge|27.27
28567|Post Oak|17.84
28877|Lakewood|158.54
29101|Franklin|119.77
29584|Oakdale|100.80
30150|Bunker Hill|129.90
31711|Unionville|18.11
31749|Newtown|82.60
31854|Roscoe|23.11
31904|Midway|33.29
32739|Mount Pleasant|4.76
34136|Pleasant Grove|1.67
34244|Ashland|43.13
34338|Red Hill|61.71
35038|Greenfield|81.26
36060|Spring Valley|77.66
36098|Five Points|145.62
36098|NULL|4.81
36557|Arlington|178.47
37057|Georgetown|228.06
37746|Union Hill|92.56
38048|Salem|106.21
38095|Maple Hill|113.06
39391|Riverdale|78.12
39583|Jackson|29.43
40899|Webb|158.12
41749|Newtown|28.76
42455|Wolf Creek|35.13
42812|Shady Grove|17.81
42898|Lebanon|51.76
44136|Pleasant Grove|50.75
44244|Ashland|18.42
44466|Mountain View|45.72
44854|Woodland|165.40
44975|Kingston|259.13
45281|Bethel|90.30
45804|Harmony|81.05
46060|Spring Valley|9.53
46364|Omega|104.77
46534|Highland Park|38.71
46668|White Oak|22.54
46971|Wilson|6.98
47057|NULL|36.51
47934|Flint Hill|80.91
48048|Salem|78.02
48222|Clinton|82.44
49145|Farmington|28.00
49145|NULL|15.37
49454|Highland|6.24
49532|Lakeside|84.09
49840|Deerfield|7.72
49843|Oakland|227.44
50411|NULL|27.80
51289|Lincoln|14.47
51521|Newport|238.48
51757|Enterprise|2.41
52293|Five Forks|2.66
52477|Pleasant Valley|104.81
52739|Mount Pleasant|12.99
52812|Shady Grove|47.34
53394|Florence|24.93
53451|Liberty|77.70
53604|Pleasant Hill|3.34
54145|Empire|9.70
54289|Woodville|100.57
55124|Valley View|63.24
55804|Harmony|85.44
56098|Five Points|69.65
56668|White Oak|64.50
56896|Sheffield|89.61
57683|Green Acres|92.91
57838|Oak Hill|11.34
58059|Mount Olive|124.75
59454|Highland|36.11


