s_store_name|s_company_id|s_street_number|s_street_name|s_street_type|s_suite_number|s_city|s_county|s_state|s_zip|30 days|31-60 days|61-90 days|91-120 days|>120 days
able|1|128|15th |RD|Suite T|Oakland|Luce County|MI|49843|224|175|159|154|322
able|1|227|8th |Road|Suite 290|New Hope|Luce County|MI|49431|224|164|191|174|327
able|1|228|Cherry |Avenue|Suite G|Centerville|Walker County|AL|30059|235|144|168|173|335
able|1|255|Sycamore |Dr.|Suite 410|Midway|Ziebach County|SD|51904|240|139|166|172|339
able|1|292|Walnut North|Circle|Suite Q|Pleasant Valley|Franklin Parish|LA|72477|201|154|153|179|327
able|1|300|Forest |Lane|Suite 230|Riverside|Walker County|AL|39231|220|161|178|176|319
able|1|302|Walnut Madison|Wy|Suite T|Oakland|Ziebach County|SD|59843|227|176|142|163|336
able|1|441|11th |ST|Suite H|Union|Williamson County|TN|38721|249|163|162|159|313
able|1|443|Hickory Sycamore|Street|Suite C|Fairview|Richland County|OH|45709|241|166|190|144|312
able|1|479|Park First|Lane|Suite 20|Salem|Walker County|AL|38048|215|176|166|182|312
able|1|49|Highland 1st|Drive|Suite 80|Greenwood|Ziebach County|SD|58828|225|148|170|133|300
able|1|543|West Elm|Ln|Suite A|Pleasant Grove|Luce County|MI|44136|244|163|160|169|295
able|1|545|Pine |ST|Suite D|Liberty|Richland County|OH|43451|203|145|148|192|321
able|1|557|Elevnth 7th|Pkwy|Suite L|Oakland|Walker County|AL|39843|210|149|172|186|310
able|1|605|Williams South|Ln|Suite D|Fairview|Richland County|OH|45709|219|151|167|150|314
able|1|667|Ridge Maple|Pkwy|Suite X|Bethel|Ziebach County|SD|55281|209|154|173|145|316
able|1|702|Cedar 6th|Blvd|Suite 370|Fairview|Richland County|OH|45709|236|153|170|167|319
able|1|722|Railroad Spring|Ct.|Suite M|Pleasant Grove|Richland County|OH|44136|249|165|177|165|342
able|1|738|Miller |Court|Suite R|New Hope|Luce County|MI|49431|229|171|158|149|305
able|1|749|Railroad Maple|Drive|Suite 10|New Hope|Fairfield County|SC|29431|222|164|175|168|341
able|1|822|Johnson Third|ST|Suite P|Midway|Richland County|OH|41904|221|202|182|134|327
able|1|824|Valley |Cir.|Suite A|Fairview|Daviess County|MO|65709|225|174|182|147|280
able|1|841|Mill Woodland|Pkwy|Suite S|Pleasant Grove|Luce County|MI|44136|217|127|174|153|334
able|1|868|Main Park|Ct.|Suite 240|Bethel|Daviess County|MO|65281|204|175|162|154|305
able|1|924|2nd Meadow|Way|Suite Y|Oak Grove|Fairfield County|SC|28370|229|156|168|181|321
able|1|954|Walnut |Pkwy|Suite L|Oak Grove|Franklin Parish|LA|78370|211|144|155|160|313
able|1|972|Chestnut |Wy|Suite S|Union|Walker County|AL|38721|245|161|179|159|312
anti|1|192|5th Highland|Blvd|Suite N|Bethel|Williamson County|TN|35281|215|178|145|179|326
anti|1|321|11th |Parkway|Suite G|Pleasant Hill|Franklin Parish|LA|73604|214|134|181|158|352
