SEGMENT|num_customers|segment_base
2053|1|102650
5169|1|258450
6153|1|307650
6885|1|344250
6900|1|345000
7286|1|364300
7375|1|368750
7417|1|370850
7487|1|374350
8456|1|422800
8635|1|431750
8653|1|432650
8678|1|433900
8693|1|434650
8994|1|449700
8995|1|449750
9157|1|457850
9895|1|494750
10582|1|529100
11376|1|568800
11601|1|580050
11653|1|582650
11785|1|589250
11953|1|597650
12311|1|615550
12329|1|616450
12514|1|625700
12603|1|630150
12751|1|637550
13213|1|660650
13332|1|666600
13454|1|672700
13473|1|673650
13591|1|679550
13808|1|690400
13840|1|692000
14947|1|747350
15012|1|750600
15042|1|752100
15112|1|755600
15754|1|787700
16271|1|813550
16450|1|822500
16527|1|826350
16898|1|844900
16911|1|845550
16975|1|848750
17381|1|869050
17387|1|869350
17503|1|875150
17526|1|876300
17539|1|876950
17813|1|890650
17906|1|895300
18103|1|905150
18326|1|916300
18337|1|916850
18594|1|929700
18692|1|934600
18787|1|939350
18968|1|948400
18995|1|949750
19239|1|961950
19548|1|977400
19601|1|980050
19969|1|998450
20048|1|1002400
20166|1|1008300
20198|1|1009900
20569|1|1028450
20602|1|1030100
20717|1|1035850
21085|1|1054250
22165|1|1108250
22197|1|1109850
22386|1|1119300
22392|1|1119600
22736|1|1136800
22780|1|1139000
23014|1|1150700
23053|1|1152650
23080|1|1154000
24899|1|1244950
24966|1|1248300
24989|1|1249450
25163|1|1258150
25281|1|1264050
25572|1|1278600
25910|1|1295500
27028|1|1351400
28095|1|1404750
28933|1|1446650
29979|1|1498950
30745|1|1537250
31118|1|1555900
31213|1|1560650
31351|1|1567550
31692|1|1584600
32296|1|1614800
34679|1|1733950


