cd_gender|cd_marital_status|cd_education_status|cnt1|cd_purchase_estimate|cnt2|cd_credit_rating|cnt3
F|D|2 yr Degree|6|500|6|Good|6
F|D|2 yr Degree|8|500|8|High Risk|8
F|D|2 yr Degree|10|500|10|Low Risk|10
F|D|2 yr Degree|6|500|6|Unknown|6
F|D|2 yr Degree|9|1000|9|Good|9
F|D|2 yr Degree|9|1000|9|High Risk|9
F|D|2 yr Degree|8|1000|8|Low Risk|8
F|D|2 yr Degree|10|1000|10|Unknown|10
F|D|2 yr Degree|5|1500|5|Good|5
F|D|2 yr Degree|8|1500|8|High Risk|8
F|D|2 yr Degree|6|1500|6|Low Risk|6
F|D|2 yr Degree|9|1500|9|Unknown|9
F|D|2 yr Degree|8|2000|8|Good|8
F|D|2 yr Degree|6|2000|6|High Risk|6
F|D|2 yr Degree|7|2000|7|Low Risk|7
F|D|2 yr Degree|8|2000|8|Unknown|8
F|D|2 yr Degree|7|2500|7|Good|7
F|D|2 yr Degree|5|2500|5|High Risk|5
F|D|2 yr Degree|5|2500|5|Low Risk|5
F|D|2 yr Degree|8|2500|8|Unknown|8
F|D|2 yr Degree|11|3000|11|Good|11
F|D|2 yr Degree|6|3000|6|High Risk|6
F|D|2 yr Degree|3|3000|3|Low Risk|3
F|D|2 yr Degree|6|3000|6|Unknown|6
F|D|2 yr Degree|10|3500|10|Good|10
F|D|2 yr Degree|4|3500|4|High Risk|4
F|D|2 yr Degree|9|3500|9|Low Risk|9
F|D|2 yr Degree|9|3500|9|Unknown|9
F|D|2 yr Degree|11|4000|11|Good|11
F|D|2 yr Degree|9|4000|9|High Risk|9
F|D|2 yr Degree|7|4000|7|Low Risk|7
F|D|2 yr Degree|10|4000|10|Unknown|10
F|D|2 yr Degree|9|4500|9|Good|9
F|D|2 yr Degree|10|4500|10|High Risk|10
F|D|2 yr Degree|9|4500|9|Low Risk|9
F|D|2 yr Degree|5|4500|5|Unknown|5
F|D|2 yr Degree|6|5000|6|Good|6
F|D|2 yr Degree|2|5000|2|High Risk|2
F|D|2 yr Degree|5|5000|5|Low Risk|5
F|D|2 yr Degree|6|5000|6|Unknown|6
F|D|2 yr Degree|7|5500|7|Good|7
F|D|2 yr Degree|11|5500|11|High Risk|11
F|D|2 yr Degree|8|5500|8|Low Risk|8
F|D|2 yr Degree|5|5500|5|Unknown|5
F|D|2 yr Degree|12|6000|12|Good|12
F|D|2 yr Degree|5|6000|5|High Risk|5
F|D|2 yr Degree|8|6000|8|Low Risk|8
F|D|2 yr Degree|12|6000|12|Unknown|12
F|D|2 yr Degree|5|6500|5|Good|5
F|D|2 yr Degree|10|6500|10|High Risk|10
F|D|2 yr Degree|10|6500|10|Low Risk|10
F|D|2 yr Degree|6|6500|6|Unknown|6
F|D|2 yr Degree|9|7000|9|Good|9
F|D|2 yr Degree|12|7000|12|High Risk|12
F|D|2 yr Degree|7|7000|7|Low Risk|7
F|D|2 yr Degree|3|7000|3|Unknown|3
F|D|2 yr Degree|4|7500|4|Good|4
F|D|2 yr Degree|11|7500|11|High Risk|11
F|D|2 yr Degree|3|7500|3|Low Risk|3
F|D|2 yr Degree|8|7500|8|Unknown|8
F|D|2 yr Degree|7|8000|7|Good|7
F|D|2 yr Degree|4|8000|4|High Risk|4
F|D|2 yr Degree|12|8000|12|Low Risk|12
F|D|2 yr Degree|7|8000|7|Unknown|7
F|D|2 yr Degree|8|8500|8|Good|8
F|D|2 yr Degree|9|8500|9|High Risk|9
F|D|2 yr Degree|12|8500|12|Low Risk|12
F|D|2 yr Degree|1|8500|1|Unknown|1
F|D|2 yr Degree|5|9000|5|Good|5
F|D|2 yr Degree|7|9000|7|High Risk|7
F|D|2 yr Degree|7|9000|7|Low Risk|7
F|D|2 yr Degree|7|9000|7|Unknown|7
F|D|2 yr Degree|4|9500|4|Good|4
F|D|2 yr Degree|11|9500|11|High Risk|11
F|D|2 yr Degree|12|9500|12|Low Risk|12
F|D|2 yr Degree|3|9500|3|Unknown|3
F|D|2 yr Degree|7|10000|7|Good|7
F|D|2 yr Degree|13|10000|13|High Risk|13
F|D|2 yr Degree|5|10000|5|Low Risk|5
F|D|2 yr Degree|9|10000|9|Unknown|9
F|D|4 yr Degree|9|500|9|Good|9
F|D|4 yr Degree|9|500|9|High Risk|9
F|D|4 yr Degree|3|500|3|Low Risk|3
F|D|4 yr Degree|5|500|5|Unknown|5
F|D|4 yr Degree|9|1000|9|Good|9
F|D|4 yr Degree|7|1000|7|High Risk|7
F|D|4 yr Degree|7|1000|7|Low Risk|7
F|D|4 yr Degree|12|1000|12|Unknown|12
F|D|4 yr Degree|6|1500|6|Good|6
F|D|4 yr Degree|4|1500|4|High Risk|4
F|D|4 yr Degree|5|1500|5|Low Risk|5
F|D|4 yr Degree|7|1500|7|Unknown|7
F|D|4 yr Degree|10|2000|10|Good|10
F|D|4 yr Degree|6|2000|6|High Risk|6
F|D|4 yr Degree|12|2000|12|Low Risk|12
F|D|4 yr Degree|5|2000|5|Unknown|5
F|D|4 yr Degree|8|2500|8|Good|8
F|D|4 yr Degree|5|2500|5|High Risk|5
F|D|4 yr Degree|7|2500|7|Low Risk|7
F|D|4 yr Degree|11|2500|11|Unknown|11


