total_sum|s_state|s_county|lochierarchy|rank_within_parent
-43783225004.48|NULL|NULL|2|1
-3068891881.83|MO|NULL|1|1
-3521628915.23|GA|NULL|1|2
-4389585410.25|AL|NULL|1|3
-4833405701.16|OH|NULL|1|4
-4840259544.13|MI|NULL|1|5
-5501715225.67|TN|NULL|1|6
-5525017160.03|LA|NULL|1|7
-5724354557.81|SC|NULL|1|8
-6378366608.37|SD|NULL|1|9
-4389585410.25|AL|Walker County|0|1
-3521628915.23|GA|Barrow County|0|1
-5525017160.03|LA|Franklin Parish|0|1
-4840259544.13|MI|Luce County|0|1
-3068891881.83|MO|Daviess County|0|1
-4833405701.16|OH|Richland County|0|1
-5724354557.81|SC|Fairfield County|0|1
-6378366608.37|SD|Ziebach County|0|1
-217882364.86|TN|NULL|0|1
-5283832860.81|TN|Williamson County|0|2


