i_item_desc|w_warehouse_name|d_week_seq|no_promo|promo|total_cnt
A|Certainly fede|5175|0|1|1
A|Certainly fede|5177|0|1|1
A|Certainly fede|5178|0|1|1
A|Certainly fede|5180|0|1|1
A|Certainly fede|5182|0|1|1
A|Certainly fede|5184|0|1|1
A|Certainly fede|5190|0|3|3
A|Certainly fede|5206|0|1|1
A|Certainly fede|5209|0|1|1
A|Certainly fede|5215|0|2|2
A|Certainly fede|5217|0|1|1
A|Conventional childr|5170|0|1|1
A|Conventional childr|5175|0|1|1
A|Conventional childr|5182|0|1|1
A|Conventional childr|5187|0|1|1
A|Conventional childr|5194|0|1|1
A|Conventional childr|5196|0|1|1
A|Conventional childr|5200|0|1|1
A|Conventional childr|5202|0|2|2
A|Conventional childr|5207|0|1|1
A|Conventional childr|5212|0|1|1
A|Conventional childr|5215|0|1|1
A|Conventional childr|5218|0|1|1
A|Historic, us|5172|0|1|1
A|Historic, us|5179|0|1|1
A|Historic, us|5180|0|1|1
A|Historic, us|5181|0|1|1
A|Historic, us|5188|0|2|2
A|Historic, us|5196|0|1|1
A|Historic, us|5198|0|2|2
A|Historic, us|5204|0|1|1
A|Historic, us|5205|0|1|1
A|Historic, us|5206|0|1|1
A|Historic, us|5208|0|1|1
A|Historic, us|5213|0|1|1
A|Historic, us|5218|0|1|1
A|Inappropriate, p|5171|0|1|1
A|Inappropriate, p|5173|0|1|1
A|Inappropriate, p|5186|0|1|1
A|Inappropriate, p|5196|0|2|2
A|Inappropriate, p|5200|0|1|1
A|Inappropriate, p|5201|0|1|1
A|Inappropriate, p|5211|0|2|2
A|Inappropriate, p|5213|0|1|1
A|Inappropriate, p|5215|0|2|2
A|Inappropriate, p|5218|0|1|1
A|Issues live th|5167|0|1|1
A|Issues live th|5177|0|1|1
A|Issues live th|5180|0|1|1
A|Issues live th|5182|0|1|1
A|Issues live th|5190|0|1|1
A|Issues live th|5196|0|1|1
A|Issues live th|5198|0|2|2
A|Issues live th|5200|0|1|1
A|Issues live th|5211|0|1|1
A|Issues live th|5213|0|1|1
A|Issues live th|5214|0|2|2
A|Issues live th|5215|0|3|3
A|New, possib|5169|0|1|1
A|New, possib|5170|0|1|1
A|New, possib|5175|0|1|1
A|New, possib|5177|0|1|1
A|New, possib|5186|0|1|1
A|New, possib|5187|0|1|1
A|New, possib|5188|0|2|2
A|New, possib|5191|0|1|1
A|New, possib|5198|0|2|2
A|New, possib|5200|0|1|1
A|New, possib|5202|0|1|1
A|New, possib|5205|0|1|1
A|New, possib|5207|0|1|1
A|New, possib|5208|0|2|2
A|New, possib|5213|0|1|1
A|New, possib|5214|0|1|1
A|New, possib|5215|0|3|3
A|New, sudden|5166|0|1|1
A|New, sudden|5171|0|1|1
A|New, sudden|5182|0|1|1
A|New, sudden|5190|0|1|1
A|New, sudden|5192|0|1|1
A|New, sudden|5197|0|1|1
A|New, sudden|5202|0|1|1
A|New, sudden|5205|0|1|1
A|New, sudden|5210|0|2|2
A|New, sudden|5211|0|1|1
A|New, sudden|5214|0|1|1
A|New, sudden|5217|0|1|1
A|Of course ot|5166|0|1|1
A|Of course ot|5173|0|2|2
A|Of course ot|5175|0|1|1
A|Of course ot|5176|0|1|1
A|Of course ot|5184|0|1|1
A|Of course ot|5186|0|1|1
A|Of course ot|5187|0|1|1
A|Of course ot|5196|0|2|2
A|Of course ot|5200|0|1|1
A|Of course ot|5201|0|3|3
A|Of course ot|5206|0|2|2
A|Of course ot|5209|0|1|1
A|Of course ot|5211|0|2|2
