channel|id|sales|returns_|profit
NULL|NULL|185883354222.22|3558435878.14|-24562660244.37
catalog channel|NULL|170476460639.10|3129514840.64|-19003359262.96
catalog channel|NULL|214400098.50|195594677.54|-159446186.11
catalog channel|1|11269388591.37|195594677.54|-1245859144.30
catalog channel|2|11543270105.85|195594677.54|-1279321757.05
catalog channel|5|11378781260.70|195594677.54|-1240392180.28
catalog channel|7|11274600184.05|195594677.54|-1270061988.49
catalog channel|8|11446756770.54|195594677.54|-1261425343.06
catalog channel|11|11314875307.26|195594677.54|-1281103822.09
catalog channel|13|11304799608.27|195594677.54|-1242465790.21
catalog channel|14|11320185736.02|195594677.54|-1241978668.75
catalog channel|17|11403938210.70|195594677.54|-1302476594.56
catalog channel|19|11266248042.84|195594677.54|-1244925296.56
catalog channel|20|11295450937.26|195594677.54|-1227887732.38
catalog channel|23|11407907064.12|195594677.54|-1263980135.44
catalog channel|25|11312716481.22|195594677.54|-1247783851.63
catalog channel|26|11412924752.88|195594677.54|-1240871497.09
catalog channel|29|11310217487.52|195594677.54|-1253379274.96
store channel|NULL|11295640794.57|321247401.18|-5083110358.55
store channel|1|55966236.93|1538658.81|-25039328.05
store channel|2|55363257.69|1591655.77|-24758279.37
store channel|4|54287498.61|1626022.37|-24475474.78
store channel|7|57344932.23|1620019.21|-25937776.93
store channel|8|54952201.25|1672298.40|-24712409.78
store channel|10|56032622.04|1529981.72|-24815111.57
store channel|13|58274415.78|1599818.99|-25035600.12
store channel|14|54688613.29|1675106.34|-24981323.66
store channel|16|56326692.38|1505970.23|-24849421.86
store channel|19|55106644.17|1575469.70|-25029740.31
store channel|20|55071845.70|1649458.88|-24862632.79
store channel|22|57471999.35|1623829.99|-25805753.16
store channel|25|55902497.79|1672332.47|-25255343.27
store channel|26|54463181.60|1547752.87|-24794024.88
store channel|28|56183231.77|1561939.13|-25382624.11
store channel|31|56321711.49|1566650.62|-25501882.38
store channel|32|56681148.07|1672602.33|-25601784.71
store channel|34|56572024.12|1534179.87|-25772533.51
store channel|37|55359637.21|1530003.43|-24885036.98
store channel|38|56494716.25|1452706.22|-25324549.34
store channel|40|54740515.62|1519396.30|-24378578.94
store channel|43|55923714.59|1535683.88|-25456100.16
store channel|44|55150304.55|1653386.73|-25396102.96
store channel|46|55257394.15|1716136.01|-24555273.80
store channel|49|57825340.17|1438657.92|-26144165.89
store channel|50|55587101.72|1692736.00|-24577346.24
store channel|52|55143834.92|1610505.29|-25218616.71
store channel|55|55085991.30|1654069.93|-25106355.96
store channel|56|55306624.90|1650560.59|-24726161.44
store channel|58|54493423.51|1614620.29|-24522394.39
store channel|61|58233005.21|1450697.11|-25891247.68
store channel|62|57706629.33|1639109.54|-25241091.02
store channel|64|55860138.98|1587250.55|-25077877.06
store channel|67|58712733.86|1560676.02|-26610408.69
store channel|68|55908852.11|1579858.31|-25136890.96
store channel|70|54944898.85|1597576.62|-24677395.49
store channel|73|56660373.18|1630938.19|-24974199.86
store channel|74|53526395.38|1522656.08|-24214418.78
store channel|76|52681506.60|1548719.56|-23841923.27
store channel|79|56194081.58|1528864.35|-25070080.81
store channel|80|56562244.54|1555521.75|-24816977.21
store channel|82|56508319.75|1501200.44|-25354944.23
store channel|85|56661612.76|1635728.54|-25324011.45
store channel|86|58467899.27|1587757.22|-26331524.48
store channel|88|54693394.19|1656841.22|-23719240.84
store channel|91|56085787.92|1600130.41|-25546149.19
store channel|92|56074476.43|1652234.38|-25877242.77
store channel|94|56722529.16|1626142.38|-25324111.04
store channel|97|56955912.80|1639854.14|-25283018.92
store channel|98|57501449.28|1609247.35|-26129158.61
store channel|100|58305352.36|1719494.14|-26861921.34
store channel|103|56338914.87|1571394.46|-25585692.42
store channel|104|55968232.01|1608582.74|-25279019.07
store channel|106|56224067.97|1738635.93|-25478486.52
store channel|109|55866278.53|1563052.24|-25060822.62
store channel|110|55500154.79|1639484.55|-24760955.68
store channel|112|56657808.71|1563095.57|-25513785.32
store channel|115|55460852.11|1487631.43|-24275060.46
store channel|116|55575468.55|1566015.47|-25053572.56
store channel|118|56777270.48|1609106.74|-25312352.90
store channel|121|55011068.51|1573917.81|-24815657.84
store channel|122|55510456.36|1736395.83|-25222908.47
store channel|124|56036061.31|1632611.12|-25160530.94
store channel|127|56492669.60|1596152.17|-25172943.53
store channel|128|57273501.93|1575148.65|-24915788.15
store channel|130|55844155.20|1605906.98|-25337951.55
store channel|133|55908132.15|1643502.51|-25358726.91
store channel|134|57117478.24|1485168.03|-26393580.94
store channel|136|56193518.15|1594977.41|-24986334.52
store channel|139|56018062.22|1652227.82|-25570041.74
store channel|140|54884472.91|1671386.01|-25274914.24
store channel|142|57854801.72|1673152.13|-25961044.45
store channel|145|55247560.24|1581013.99|-25351250.83
store channel|146|56774011.15|1707199.17|-25005866.47
store channel|148|55828971.20|1559605.72|-25753809.79
store channel|151|56270367.42|1607172.27|-24815161.66
store channel|152|58533859.17|1682649.49|-26951328.00
store channel|154|57570174.23|1550422.94|-25969055.78
store channel|157|56288466.57|1668649.90|-25367743.36
store channel|158|55057535.90|1647130.48|-24547057.01
store channel|160|57079951.97|1699904.13|-26465146.17
