c_last_name|c_first_name|main."substring"(s_city, 1, 30)|ss_ticket_number|amt|profit
NULL|NULL|Bethel|189979|NULL|NULL
NULL|NULL|Bethel|3133471|NULL|NULL
NULL|NULL|Bethel|3330114|NULL|NULL
NULL|NULL|Bethel|8856259|NULL|NULL
NULL|NULL|Bethel|10266785|NULL|NULL
NULL|NULL|Bethel|11991214|0.00|NULL
NULL|NULL|Bethel|13358024|0.00|NULL
NULL|NULL|Bethel|15268426|NULL|NULL
NULL|NULL|Bethel|16154255|0.00|NULL
NULL|NULL|Bethel|17552901|NULL|NULL
NULL|NULL|Bethel|19119752|NULL|NULL
NULL|NULL|Bethel|22467820|NULL|NULL
NULL|NULL|Bethel|23177253|NULL|NULL
NULL|NULL|Bethel|23192277|0.00|NULL
NULL|NULL|Bethel|23465690|260.88|-31490.36
NULL|NULL|Bethel|4264673|1198.97|-30141.90
NULL|NULL|Bethel|2192710|7382.34|-28386.30
NULL|NULL|Bethel|1829192|495.79|-27733.26
NULL|NULL|Bethel|11604937|8671.62|-25251.40
NULL|NULL|Bethel|4675547|3534.03|-24938.92
NULL|NULL|Bethel|18240197|7302.35|-24857.17
NULL|NULL|Bethel|8193753|1626.36|-24677.14
NULL|NULL|Bethel|8873872|10085.88|-24254.84
NULL|NULL|Bethel|1866083|0.00|-24048.45
NULL|NULL|Bethel|7757178|67.87|-24030.66
NULL|NULL|Bethel|18938208|5204.36|-23450.35
NULL|NULL|Bethel|7279629|8791.44|-23100.78
NULL|NULL|Bethel|22729828|4156.26|-22994.86
NULL|NULL|Bethel|5178748|11057.39|-22984.06
NULL|NULL|Bethel|22922201|7485.23|-22864.09
NULL|NULL|Bethel|13847234|781.53|-22856.87
NULL|NULL|Bethel|16779639|9010.60|-22538.20
NULL|NULL|Bethel|23792970|4964.43|-22374.23
NULL|NULL|Bethel|2697066|0.00|-22248.43
NULL|NULL|Bethel|19944657|6856.95|-22142.27
NULL|NULL|Bethel|9169645|8469.71|-22002.65
NULL|NULL|Bethel|4191880|4862.29|-21720.12
NULL|NULL|Bethel|14597546|1077.43|-21584.60
NULL|NULL|Bethel|10881547|7658.65|-21561.22
NULL|NULL|Bethel|1828739|1911.13|-21547.64
NULL|NULL|Bethel|5715998|8744.24|-21423.45
NULL|NULL|Bethel|7223908|2181.97|-21412.94
NULL|NULL|Bethel|1114190|7164.17|-21350.85
NULL|NULL|Bethel|6288298|2831.31|-20918.95
NULL|NULL|Bethel|18286657|4340.32|-20872.94
NULL|NULL|Bethel|20268743|1810.78|-20856.74
NULL|NULL|Bethel|18845055|13.07|-20855.18
NULL|NULL|Bethel|16758432|696.34|-20850.55
NULL|NULL|Bethel|12181620|27.62|-20630.64
NULL|NULL|Bethel|8716471|3061.73|-20578.54
NULL|NULL|Bethel|21478024|4316.14|-20457.25
NULL|NULL|Bethel|12364559|4135.18|-20454.15
NULL|NULL|Bethel|19119752|11704.61|-20289.09
NULL|NULL|Bethel|21411389|4495.88|-20245.11
NULL|NULL|Bethel|9351482|2766.88|-20169.23
NULL|NULL|Bethel|22838028|617.42|-20059.60
NULL|NULL|Bethel|2761131|6229.92|-20026.21
NULL|NULL|Bethel|13203652|14404.85|-19733.00
NULL|NULL|Bethel|4262435|3844.93|-19685.08
NULL|NULL|Bethel|12293475|10902.32|-19667.40
NULL|NULL|Bethel|3794982|2131.92|-19620.93
NULL|NULL|Bethel|12649617|0.00|-19617.15
NULL|NULL|Bethel|17983559|4273.54|-19568.62
NULL|NULL|Bethel|3536086|6083.61|-19546.93
NULL|NULL|Bethel|5915253|1930.43|-19450.53
NULL|NULL|Bethel|12845587|1662.82|-19421.38
NULL|NULL|Bethel|8086649|6493.43|-19283.08
NULL|NULL|Bethel|16300568|3565.27|-19208.29
NULL|NULL|Bethel|22513418|6710.93|-19112.13
NULL|NULL|Bethel|17052778|309.39|-19080.53
NULL|NULL|Bethel|2168982|2460.87|-19045.50
NULL|NULL|Bethel|21711159|4677.74|-18989.38
NULL|NULL|Bethel|11765800|226.12|-18942.02
NULL|NULL|Bethel|15378058|2170.45|-18906.65
NULL|NULL|Bethel|20412765|6182.09|-18877.32
NULL|NULL|Bethel|17501273|8289.54|-18868.93
NULL|NULL|Bethel|22370248|203.81|-18813.79
NULL|NULL|Bethel|19474586|4235.89|-18744.57
NULL|NULL|Bethel|15760626|2934.71|-18685.02
NULL|NULL|Bethel|8505022|0.00|-18518.27
NULL|NULL|Bethel|18916751|1759.13|-18431.44
NULL|NULL|Bethel|23912162|1714.09|-18319.93
NULL|NULL|Bethel|19823680|5130.27|-18297.27
NULL|NULL|Bethel|1724313|7247.20|-18220.80
NULL|NULL|Bethel|17662679|2019.86|-18143.24
NULL|NULL|Bethel|17192147|740.87|-18142.26
NULL|NULL|Bethel|11301752|7461.97|-18079.45
NULL|NULL|Bethel|19042654|526.17|-17878.99
NULL|NULL|Bethel|17948503|960.75|-17826.24
NULL|NULL|Bethel|9385641|0.00|-17734.07
NULL|NULL|Bethel|22274774|19.27|-17704.48
NULL|NULL|Bethel|11615594|1676.70|-17633.48
NULL|NULL|Bethel|23019605|1303.20|-17484.34
NULL|NULL|Bethel|14115890|3604.83|-17418.85
NULL|NULL|Bethel|5012941|492.52|-17392.73
NULL|NULL|Bethel|18390845|10485.07|-17341.49
NULL|NULL|Bethel|14573441|6626.94|-17284.51
NULL|NULL|Bethel|1968595|6606.70|-17244.35
NULL|NULL|Bethel|16115969|4356.66|-17167.92
NULL|NULL|Bethel|6341352|0.00|-17141.21


