i_item_id|i_item_desc|i_current_price
AAAAAAAABMHKBAAA|International,|76.34
AAAAAAAACKEHCAAA|Men see|82.08
AAAAAAAADDLHBAAA|There top designers could tackle then just|66.09
AAAAAAAADGEFBAAA|Increased steps ought to see never commercial banks. Items find also ideas. Often narrow developers say for the centres. |86.30
AAAAAAAADNJHCAAA|Other parts sleep as positive, shor|63.76
AAAAAAAAECMCAAAA|Arab, financial pol|67.28
AAAAAAAAFODHCAAA|Systems may not happen too slowly little charges. Other police may stand instead. Different incidents give well about essential|82.29
AAAAAAAAFPCBCAAA|Other forces resist historic, definite children. Even public classes may not cross too in a offic|65.12
AAAAAAAAHCKOBAAA|Other potatoes stay |87.85
AAAAAAAALIHCAAAA|Clinical, labour aspects might sit enough like a problems. Remarkably mysterious experts shall learn to th|86.90
AAAAAAAAMOBEBAAA|Even substantial readers go slightly lives. Skilled,|64.56
AAAAAAAAOGKABAAA|Players pay generally terrible lists. Suddenly educational others may need central elements. Different, |86.69
AAAAAAAAONLBCAAA|Further big birds show more important powers. Great walls wil|62.68
AAAAAAAAOPOICAAA|European, local rights specify during a sentenc|85.31


