main."substring"(r_reason_desc, 1, 20)|avg1|avg2|avg(wr_fee)
Did not get it on ti|47.0|734.61|6.17
Did not like the mak|41.0|453.164|54.672
Did not like the mod|48.25|532.3275|59.9775
Did not like the war|40.5|1022.3016666666666|26.971666666666668
Does not work with a|22.0|1080.0166666666667|66.97666666666667
Found a better exten|40.5|418.53|14.35
Found a better price|64.0|161.39|31.09
Gift exchange|30.5|532.37|93.055
Lost my job|26.0|959.455|37.025
No service location |33.5|335.965|28.67
Not the product that|14.0|128.54|51.704
Not working any more|2.0|206.86|2.46
Package was damaged|15.0|132.56|43.83
Parts missing|11.5|222.965|27.17
Wrong size|19.0|484.545|38.335
it is a girl|37.666666666666664|1099.0133333333333|37.29666666666667
its is a boy|14.75|327.9575|72.77
reason 23|39.0|51.43|83.425
reason 25|9.0|13.06|48.48
reason 26|12.0|495.03|75.5
reason 27|12.0|349.19666666666666|42.52
reason 28|6.0|125.5|78.015
reason 29|13.5|423.45|47.935
reason 30|11.666666666666666|301.73|36.48
reason 31|32.0|688.888|47.912
reason 33|11.4|101.218|39.634
reason 34|18.166666666666668|971.8366666666667|29.231666666666666
reason 35|27.0|946.36|82.34
reason 36|47.0|879.87|64.07
reason 37|7.0|110.45|90.81
reason 38|9.5|192.145|64.21
reason 39|5.0|34.2|41.965
reason 40|5.0|137.08|27.23
reason 41|78.0|316.85|49.09
reason 43|13.0|6.01|58.17
reason 44|39.5|629.6675|49.6
reason 45|66.0|2236.99|63.16
reason 46|20.666666666666668|463.97|48.33
reason 47|6.333333333333333|70.105|42.99333333333333
reason 49|51.333333333333336|3493.7166666666667|23.276666666666667
reason 50|34.0|329.17|67.8
reason 51|8.0|293.065|26.87
reason 52|72.0|1291.55|20.42
reason 53|46.0|1508.18|85.72
reason 54|6.666666666666667|14.1|68.87666666666667
reason 55|11.0|403.47|86.27
reason 56|9.0|276.8425|30.305
reason 57|32.5|524.515|52.93
reason 59|67.5|1632.31|10.44
reason 60|33.0|166.24|54.63
reason 61|28.5|850.69|29.265
reason 62|19.5|236.2|28.08
reason 64|3.0|333.69|38.72
reason 66|17.333333333333332|285.1566666666667|51.42666666666667
reason 68|13.0|622.19|48.905
reason 69|37.8|883.83|54.934
reason 71|24.75|330.7875|51.0375
reason 72|3.0|115.38|89.12
reason 73|28.5|312.12|64.665
reason 74|14.0|503.68333333333334|36.28666666666667
reason 75|29.0|242.49333333333334|93.29333333333334
unauthoized purchase|9.5|52.14|76.97
