total_sum|i_category|i_class|lochierarchy|rank_within_parent
33198941642.94|NULL|NULL|2|1
3362668983.44|Sports|NULL|1|1
3326230218.96|Children|NULL|1|2
3322426297.98|Women|NULL|1|3
3322357618.81|Electronics|NULL|1|4
3313717334.86|Music|NULL|1|5
3313356205.32|Books|NULL|1|6
3295907951.77|Home|NULL|1|7
3294344966.02|Shoes|NULL|1|8
3283901669.26|Jewelry|NULL|1|9
3280370106.40|Men|NULL|1|10
83660290.12|NULL|NULL|1|11
42471805.75|NULL|NULL|0|1
1998229.87|NULL|dresses|0|2
1943976.98|NULL|swimwear|0|3
1666085.24|NULL|womens|0|4
1646554.31|NULL|fragrances|0|5
1635493.28|NULL|athletic|0|6
1396655.34|NULL|toddlers|0|7
1339466.03|NULL|pants|0|8
1328477.41|NULL|newborn|0|9
1208893.65|NULL|shirts|0|10
1078947.14|NULL|history|0|11
989749.36|NULL|country|0|12
942108.73|NULL|mens|0|13
927681.40|NULL|classical|0|14
846775.26|NULL|sports-apparel|0|15
765114.70|NULL|rock|0|16
744611.34|NULL|memory|0|17
738591.15|NULL|business|0|18
733046.69|NULL|basketball|0|19
709032.55|NULL|infants|0|20
705455.35|NULL|pendants|0|21
675903.16|NULL|loose stones|0|22
675230.94|NULL|earings|0|23
669896.20|NULL|baseball|0|24
590604.69|NULL|archery|0|25
588892.91|NULL|custom|0|26
586015.11|NULL|reference|0|27
577419.38|NULL|pop|0|28
571929.62|NULL|diamonds|0|29
437272.37|NULL|fitness|0|30
418661.98|NULL|accessories|0|31
410068.81|NULL|tennis|0|32
391592.02|NULL|maternity|0|33
388662.80|NULL|mystery|0|34
385810.93|NULL|glassware|0|35
380837.74|NULL|entertainments|0|36
375212.67|NULL|school-uniforms|0|37
362707.50|NULL|curtains/drapes|0|38
359753.82|NULL|televisions|0|39
348284.03|NULL|outdoor|0|40
346374.88|NULL|wallpaper|0|41
344339.43|NULL|decor|0|42
341987.90|NULL|lighting|0|43
337748.05|NULL|travel|0|44
336158.86|NULL|estate|0|45
335848.10|NULL|mens watch|0|46
334154.71|NULL|tables|0|47
333829.46|NULL|bracelets|0|48
333483.33|NULL|accent|0|49
329687.80|NULL|camping|0|50
326247.53|NULL|monitors|0|51
325947.26|NULL|disk drives|0|52
324196.77|NULL|self-help|0|53
319078.56|NULL|dvd/vcr players|0|54
316462.04|NULL|computers|0|55
306255.42|NULL|semi-precious|0|56
305722.28|NULL|arts|0|57
300362.37|NULL|portable|0|58
296088.38|NULL|rugs|0|59
295868.66|NULL|womens watch|0|60
288928.84|NULL|athletic shoes|0|61
287394.06|NULL|guns|0|62
284065.37|NULL|romance|0|63
283431.16|NULL|musical|0|64
281032.18|NULL|scanners|0|65
254460.53|NULL|science|0|66
242466.17|NULL|flatware|0|67
231876.21|NULL|stereo|0|68
2287.39|NULL|bedding|0|69
1865.13|NULL|mattresses|0|70
1034.28|NULL|pools|0|71
98.80|NULL|furniture|0|72
219050351.40|Books|history|0|1
214638703.58|Books|entertainments|0|2
213999906.98|Books|reference|0|3
213003587.84|Books|fiction|0|4
210406628.74|Books|travel|0|5
209607409.55|Books|home repair|0|6
208337086.98|Books|romance|0|7
207533890.51|Books|parenting|0|8
207196147.83|Books|sports|0|9
206587244.17|Books|self-help|0|10
205490731.01|Books|cooking|0|11
202471452.82|Books|arts|0|12
202003628.94|Books|science|0|13
198013944.62|Books|business|0|14
196234147.15|Books|computers|0|15
193466087.71|Books|mystery|0|16
