w_substr|sm_type|cc_name|30 days|31-60 days|61-90 days|91-120 days|>120 days
NULL|EXPRESS|California|8238|8448|8298|0|0
NULL|EXPRESS|California_1|8124|8550|8634|0|0
NULL|EXPRESS|Hawaii/Alaska|8231|8648|8549|0|0
NULL|EXPRESS|Hawaii/Alaska_1|8189|8501|8534|0|0
NULL|EXPRESS|Mid Atlantic|8251|8528|8677|0|0
NULL|EXPRESS|Mid Atlantic_1|8157|8670|8504|0|0
NULL|EXPRESS|Mid Atlantic_2|8194|8575|8531|0|0
NULL|EXPRESS|NY Metro|8295|8420|8444|0|0
NULL|EXPRESS|NY Metro_1|8388|8515|8515|0|0
NULL|EXPRESS|NY Metro_2|8281|8566|8739|0|0
NULL|EXPRESS|North Midwest|8199|8488|8504|0|0
NULL|EXPRESS|North Midwest_1|8294|8547|8586|0|0
NULL|EXPRESS|North Midwest_2|8323|8544|8624|0|0
NULL|EXPRESS|Pacific Northwest|8280|8596|8367|0|0
NULL|EXPRESS|Pacific Northwest_1|8237|8464|8545|0|0
NULL|LIBRARY|California|6260|6450|6469|0|0
NULL|LIBRARY|California_1|6310|6450|6365|0|0
NULL|LIBRARY|Hawaii/Alaska|6179|6374|6453|0|0
NULL|LIBRARY|Hawaii/Alaska_1|6244|6427|6511|0|0
NULL|LIBRARY|Mid Atlantic|6268|6330|6419|0|0
NULL|LIBRARY|Mid Atlantic_1|6208|6424|6458|0|0
NULL|LIBRARY|Mid Atlantic_2|6022|6432|6329|0|0
NULL|LIBRARY|NY Metro|6137|6354|6207|0|0
NULL|LIBRARY|NY Metro_1|6247|6445|6288|0|0
NULL|LIBRARY|NY Metro_2|6221|6289|6507|0|0
NULL|LIBRARY|North Midwest|6166|6489|6315|0|0
NULL|LIBRARY|North Midwest_1|6144|6374|6386|0|0
NULL|LIBRARY|North Midwest_2|6209|6371|6352|0|0
NULL|LIBRARY|Pacific Northwest|6063|6408|6308|0|0
NULL|LIBRARY|Pacific Northwest_1|6178|6460|6360|0|0
NULL|NEXT DAY|California|8219|8563|8507|0|0
NULL|NEXT DAY|California_1|8282|8591|8282|0|0
NULL|NEXT DAY|Hawaii/Alaska|8393|8466|8567|0|0
NULL|NEXT DAY|Hawaii/Alaska_1|8389|8697|8503|0|0
NULL|NEXT DAY|Mid Atlantic|8321|8528|8690|0|0
NULL|NEXT DAY|Mid Atlantic_1|8180|8712|8620|0|0
NULL|NEXT DAY|Mid Atlantic_2|8086|8518|8505|0|0
NULL|NEXT DAY|NY Metro|8306|8557|8476|0|0
NULL|NEXT DAY|NY Metro_1|8259|8687|8594|0|0
NULL|NEXT DAY|NY Metro_2|8209|8433|8532|0|0
NULL|NEXT DAY|North Midwest|8298|8540|8435|0|0
NULL|NEXT DAY|North Midwest_1|8287|8572|8338|0|0
NULL|NEXT DAY|North Midwest_2|8180|8634|8490|0|0
NULL|NEXT DAY|Pacific Northwest|8357|8489|8654|0|0
NULL|NEXT DAY|Pacific Northwest_1|8161|8607|8437|0|0
NULL|OVERNIGHT|California|6175|6425|6398|0|0
NULL|OVERNIGHT|California_1|6199|6480|6392|0|0
NULL|OVERNIGHT|Hawaii/Alaska|6231|6480|6382|0|0
NULL|OVERNIGHT|Hawaii/Alaska_1|6164|6533|6451|0|0
NULL|OVERNIGHT|Mid Atlantic|6263|6503|6216|0|0
NULL|OVERNIGHT|Mid Atlantic_1|6204|6306|6491|0|0
NULL|OVERNIGHT|Mid Atlantic_2|6259|6335|6368|0|0
NULL|OVERNIGHT|NY Metro|6175|6410|6317|0|0
NULL|OVERNIGHT|NY Metro_1|6351|6232|6396|0|0
NULL|OVERNIGHT|NY Metro_2|6081|6318|6418|0|0
NULL|OVERNIGHT|North Midwest|6099|6453|6322|0|0
NULL|OVERNIGHT|North Midwest_1|6230|6362|6266|0|0
NULL|OVERNIGHT|North Midwest_2|6246|6712|6322|0|0
NULL|OVERNIGHT|Pacific Northwest|6216|6340|6461|0|0
NULL|OVERNIGHT|Pacific Northwest_1|6162|6374|6482|0|0
NULL|REGULAR|California|6231|6364|6367|0|0
NULL|REGULAR|California_1|6122|6443|6443|0|0
NULL|REGULAR|Hawaii/Alaska|6344|6405|6581|0|0
NULL|REGULAR|Hawaii/Alaska_1|6281|6369|6411|0|0
NULL|REGULAR|Mid Atlantic|6223|6491|6411|0|0
NULL|REGULAR|Mid Atlantic_1|6209|6534|6402|0|0
NULL|REGULAR|Mid Atlantic_2|6217|6708|6490|0|0
NULL|REGULAR|NY Metro|6359|6345|6324|0|0
NULL|REGULAR|NY Metro_1|6160|6459|6471|0|0
NULL|REGULAR|NY Metro_2|6165|6353|6399|0|0
NULL|REGULAR|North Midwest|6211|6416|6421|0|0
NULL|REGULAR|North Midwest_1|6380|6436|6422|0|0
NULL|REGULAR|North Midwest_2|6035|6519|6403|0|0
NULL|REGULAR|Pacific Northwest|6243|6376|6296|0|0
NULL|REGULAR|Pacific Northwest_1|6110|6298|6311|0|0
NULL|TWO DAY|California|6184|6424|6464|0|0
NULL|TWO DAY|California_1|6202|6422|6299|0|0
NULL|TWO DAY|Hawaii/Alaska|6218|6459|6602|0|0
NULL|TWO DAY|Hawaii/Alaska_1|6125|6420|6382|0|0
NULL|TWO DAY|Mid Atlantic|6267|6361|6429|0|0
NULL|TWO DAY|Mid Atlantic_1|6266|6217|6460|0|0
NULL|TWO DAY|Mid Atlantic_2|6126|6340|6391|0|0
NULL|TWO DAY|NY Metro|6211|6460|6379|0|0
NULL|TWO DAY|NY Metro_1|6255|6403|6453|0|0
NULL|TWO DAY|NY Metro_2|6162|6380|6481|0|0
NULL|TWO DAY|North Midwest|6185|6459|6508|0|0
NULL|TWO DAY|North Midwest_1|6162|6493|6442|0|0
NULL|TWO DAY|North Midwest_2|6109|6385|6276|0|0
NULL|TWO DAY|Pacific Northwest|6359|6475|6316|0|0
NULL|TWO DAY|Pacific Northwest_1|6101|6244|6349|0|0
Bad cards must make.|EXPRESS|California|8109|8635|8575|0|0
Bad cards must make.|EXPRESS|California_1|8216|8643|8639|0|0
Bad cards must make.|EXPRESS|Hawaii/Alaska|8284|8348|8480|0|0
Bad cards must make.|EXPRESS|Hawaii/Alaska_1|8220|8450|8499|0|0
Bad cards must make.|EXPRESS|Mid Atlantic|8197|8704|8602|0|0
Bad cards must make.|EXPRESS|Mid Atlantic_1|8287|8635|8629|0|0
Bad cards must make.|EXPRESS|Mid Atlantic_2|8271|8599|8478|0|0
Bad cards must make.|EXPRESS|NY Metro|8200|8550|8537|0|0
Bad cards must make.|EXPRESS|NY Metro_1|8269|8703|8620|0|0
Bad cards must make.|EXPRESS|NY Metro_2|8314|8507|8443|0|0
