cd_gender|cd_marital_status|cd_education_status|cnt1|cd_purchase_estimate|cnt2|cd_credit_rating|cnt3|cd_dep_count|cnt4|cd_dep_employed_count|cnt5|cd_dep_college_count|cnt6
F|D|College|1|2000|1|High Risk|1|0|1|5|1|0|1
F|D|College|1|3500|1|High Risk|1|3|1|3|1|4|1
F|D|Primary|1|3500|1|Good|1|6|1|6|1|6|1
F|D|Primary|1|7500|1|High Risk|1|2|1|4|1|4|1
F|D|Secondary|1|4000|1|Unknown|1|5|1|4|1|2|1
F|M|4 yr Degree|1|6500|1|Good|1|4|1|2|1|3|1
F|S|2 yr Degree|1|6000|1|Good|1|3|1|2|1|3|1
F|S|Advanced Degree|1|9500|1|High Risk|1|6|1|3|1|6|1
F|S|College|1|1500|1|Low Risk|1|4|1|1|1|1|1
F|S|Primary|1|7000|1|Good|1|6|1|3|1|4|1
F|S|Unknown|1|7000|1|Low Risk|1|4|1|4|1|1|1
F|U|2 yr Degree|1|9500|1|Low Risk|1|0|1|1|1|0|1
F|U|Advanced Degree|1|3500|1|Good|1|0|1|1|1|3|1
F|U|Primary|1|1500|1|Unknown|1|0|1|5|1|4|1
F|U|Unknown|1|6000|1|Low Risk|1|3|1|4|1|1|1
F|U|Unknown|1|9000|1|Low Risk|1|1|1|0|1|2|1
F|W|Advanced Degree|1|500|1|Low Risk|1|5|1|1|1|3|1
F|W|Secondary|1|3000|1|High Risk|1|5|1|6|1|2|1
M|D|4 yr Degree|1|9500|1|Low Risk|1|1|1|1|1|6|1
M|D|Unknown|1|1500|1|High Risk|1|6|1|6|1|1|1
M|M|Secondary|1|9500|1|Low Risk|1|1|1|2|1|0|1
M|S|2 yr Degree|1|1500|1|High Risk|1|6|1|6|1|6|1
M|S|Advanced Degree|1|1000|1|High Risk|1|4|1|3|1|0|1
M|S|Advanced Degree|1|1000|1|Low Risk|1|6|1|2|1|1|1
M|S|Advanced Degree|1|3500|1|High Risk|1|5|1|3|1|4|1
M|S|Advanced Degree|1|5500|1|Low Risk|1|0|1|4|1|4|1
M|S|College|1|5500|1|Unknown|1|5|1|2|1|3|1
M|S|Primary|1|2000|1|Low Risk|1|1|1|0|1|2|1
M|S|Unknown|1|6000|1|High Risk|1|5|1|1|1|2|1
M|S|Unknown|1|9500|1|High Risk|1|3|1|5|1|5|1
M|U|4 yr Degree|1|10000|1|High Risk|1|1|1|5|1|6|1
M|U|College|1|1500|1|Low Risk|1|6|1|6|1|5|1
M|U|College|1|9500|1|Unknown|1|6|1|5|1|3|1
M|W|2 yr Degree|1|9500|1|High Risk|1|0|1|1|1|0|1
M|W|Advanced Degree|1|9000|1|Good|1|3|1|6|1|2|1
M|W|Unknown|1|2500|1|Good|1|3|1|3|1|4|1
M|W|Unknown|1|5000|1|High Risk|1|2|1|1|1|1|1
