channel|i_brand_id|i_class_id|i_category_id|sum_sales|sum_number_sales
NULL|NULL|NULL|NULL|2026623986.02|470203
catalog|NULL|NULL|NULL|703447246.34|138099
catalog|1001001|NULL|NULL|6058660.48|1184
catalog|1001001|1|NULL|3021355.00|585
catalog|1001001|1|1|308341.01|66
catalog|1001001|1|2|343435.02|73
catalog|1001001|1|3|284912.32|52
catalog|1001001|1|4|369627.21|76
catalog|1001001|1|5|205671.55|34
catalog|1001001|1|6|407634.58|70
catalog|1001001|1|7|217570.30|39
catalog|1001001|1|8|357953.26|66
catalog|1001001|1|9|296916.42|54
catalog|1001001|1|10|229293.33|55
catalog|1001001|2|NULL|381728.48|91
catalog|1001001|2|1|34538.99|11
catalog|1001001|2|2|87623.68|21
catalog|1001001|2|3|43216.70|11
catalog|1001001|2|4|64400.13|17
catalog|1001001|2|5|59363.99|13
catalog|1001001|2|7|61192.80|12
catalog|1001001|2|8|31392.19|6
catalog|1001001|3|NULL|691897.62|123
catalog|1001001|3|1|48880.17|12
catalog|1001001|3|2|118601.40|24
catalog|1001001|3|3|22900.96|4
catalog|1001001|3|4|204570.49|41
catalog|1001001|3|5|66421.16|12
catalog|1001001|3|6|34621.99|5
catalog|1001001|3|7|51438.51|8
catalog|1001001|3|8|20369.16|3
catalog|1001001|3|9|72960.92|8
catalog|1001001|3|10|51132.86|6
catalog|1001001|4|NULL|516072.69|101
catalog|1001001|4|1|170762.57|36
catalog|1001001|4|2|161348.94|26
catalog|1001001|4|3|61305.06|15
catalog|1001001|4|4|81004.82|15
catalog|1001001|4|10|41651.30|9
catalog|1001001|5|NULL|178713.78|32
catalog|1001001|5|9|63565.20|16
catalog|1001001|5|10|115148.58|16
catalog|1001001|6|NULL|44615.30|11
catalog|1001001|6|7|24192.46|4
catalog|1001001|6|9|20422.84|7
catalog|1001001|7|NULL|102125.77|13
catalog|1001001|7|7|102125.77|13
catalog|1001001|8|NULL|212895.53|33
catalog|1001001|8|7|58171.61|8
catalog|1001001|8|9|58702.85|10
catalog|1001001|8|10|96021.07|15
catalog|1001001|9|NULL|168775.18|41
catalog|1001001|9|6|46166.51|10
catalog|1001001|9|7|36019.85|10
catalog|1001001|9|8|61913.54|15
catalog|1001001|9|9|24675.28|6
catalog|1001001|10|NULL|154782.48|29
catalog|1001001|10|6|58531.82|10
catalog|1001001|10|9|58481.52|12
catalog|1001001|10|10|37769.14|7
catalog|1001001|11|NULL|162071.73|34
catalog|1001001|11|9|102942.08|22
catalog|1001001|11|10|59129.65|12
catalog|1001001|12|NULL|100002.48|22
catalog|1001001|12|8|36211.77|7
catalog|1001001|12|10|63790.71|15
catalog|1001001|13|NULL|69376.67|15
catalog|1001001|13|6|23571.46|8
catalog|1001001|13|7|45805.21|7
catalog|1001001|14|NULL|53153.08|16
catalog|1001001|14|6|53153.08|16
catalog|1001001|15|NULL|147187.81|27
catalog|1001001|15|8|9639.23|6
catalog|1001001|15|9|104861.73|12
catalog|1001001|15|10|32686.85|9
catalog|1001001|16|NULL|53906.88|11
catalog|1001001|16|8|12340.27|3
catalog|1001001|16|10|41566.61|8
catalog|1001002|NULL|NULL|12165642.59|2387
catalog|1001002|1|NULL|9658751.38|1886
catalog|1001002|1|1|9658751.38|1886
catalog|1001002|2|NULL|340252.78|78
catalog|1001002|2|1|340252.78|78
catalog|1001002|3|NULL|522872.90|105
catalog|1001002|3|1|522872.90|105
catalog|1001002|4|NULL|625239.26|112
catalog|1001002|4|1|625239.26|112
catalog|1001002|5|NULL|147411.37|28
catalog|1001002|5|1|147411.37|28
catalog|1001002|6|NULL|73945.53|24
catalog|1001002|6|1|73945.53|24
catalog|1001002|7|NULL|161583.76|36
catalog|1001002|7|1|161583.76|36
catalog|1001002|8|NULL|155609.76|28
catalog|1001002|8|1|155609.76|28
catalog|1001002|9|NULL|101755.98|21
catalog|1001002|9|1|101755.98|21
catalog|1001002|11|NULL|103041.14|9
catalog|1001002|11|1|103041.14|9
catalog|1001002|12|NULL|140539.31|33
