i_product_name|i_brand|i_class|i_category|qoh
ableoughteingoughtable|NULL|NULL|NULL|429.1340206185567
ableoughteingoughtable|"amalgimporto #1"|NULL|NULL|429.1340206185567
ableoughteingoughtable|"amalgimporto #1"|accessories|NULL|429.1340206185567
ableoughteingoughtable|"amalgimporto #1"|accessories|Men|429.1340206185567
prieingeseation|NULL|NULL|NULL|440.13698630136986
prieingeseation|"edu packimporto #2"|NULL|NULL|440.13698630136986
prieingeseation|"edu packimporto #2"|sports-apparel|NULL|440.13698630136986
prieingeseation|"edu packimporto #2"|sports-apparel|Men|440.13698630136986
antipricallycally|NULL|NULL|NULL|441.9688581314879
antipricallycally|"brandbrand #6"|NULL|NULL|441.9688581314879
antipricallycally|"brandbrand #6"|decor|NULL|441.9688581314879
antipricallycally|"brandbrand #6"|decor|Home|441.9688581314879
eseeseeingbarought|NULL|NULL|NULL|442.8006872852234
eseeseeingbarought|"exportiedu pack #1"|NULL|NULL|442.8006872852234
eseeseeingbarought|"exportiedu pack #1"|kids|NULL|442.8006872852234
eseeseeingbarought|"exportiedu pack #1"|kids|Shoes|442.8006872852234
n stcallyeingbarpri|NULL|NULL|NULL|442.95317725752506
n stcallyeingbarpri|"scholarnameless #10"|NULL|NULL|442.95317725752506
n stcallyeingbarpri|"scholarnameless #10"|tables|NULL|442.95317725752506
n stcallyeingbarpri|"scholarnameless #10"|tables|Home|442.95317725752506
n stcallyeseableought|NULL|NULL|NULL|442.969696969697
n stcallyeseableought|"importonameless #10"|NULL|NULL|442.969696969697
n stcallyeseableought|"importonameless #10"|paint|NULL|442.969696969697
n stcallyeseableought|"importonameless #10"|paint|Home|442.969696969697
ablen stcallypripri|NULL|NULL|NULL|443.80887372013655
ablen stcallypripri|"importoedu pack #1"|NULL|NULL|443.80887372013655
ablen stcallypripri|"importoedu pack #1"|mens|NULL|443.80887372013655
ablen stcallypripri|"importoedu pack #1"|mens|Shoes|443.80887372013655
n stoughtbarbarpri|NULL|NULL|NULL|443.86101694915254
n stoughtbarbarpri|"brandbrand #10"|NULL|NULL|443.86101694915254
n stoughtbarbarpri|"brandbrand #10"|decor|NULL|443.86101694915254
n stoughtbarbarpri|"brandbrand #10"|decor|Home|443.86101694915254
callyationoughtn st|NULL|NULL|NULL|444.0865051903114
callyationoughtn st|"importoimporto #1"|NULL|NULL|444.0865051903114
callyationoughtn st|"importoimporto #1"|shirts|NULL|444.0865051903114
callyationoughtn st|"importoimporto #1"|shirts|Men|444.0865051903114
pribarationation|NULL|NULL|NULL|445.5223367697595
pribarationation|"exportiedu pack #2"|NULL|NULL|445.5223367697595
pribarationation|"exportiedu pack #2"|kids|NULL|445.5223367697595
pribarationation|"exportiedu pack #2"|kids|Shoes|445.5223367697595
priesebarpripri|NULL|NULL|NULL|445.86551724137934
priesebarpripri|"importoamalg #2"|NULL|NULL|445.86551724137934
priesebarpripri|"importoamalg #2"|fragrances|NULL|445.86551724137934
priesebarpripri|"importoamalg #2"|fragrances|Women|445.86551724137934
ationeingationn st|NULL|NULL|NULL|446.3898305084746
ationeingationn st|"edu packunivamalg #13"|NULL|NULL|446.3898305084746
ationeingationn st|"edu packunivamalg #13"|audio|NULL|446.3898305084746
ationeingationn st|"edu packunivamalg #13"|audio|Electronics|446.3898305084746
callyantibarationable|NULL|NULL|NULL|447.04713804713805
callyantibarationable|"importoamalg #1"|NULL|NULL|447.04713804713805
callyantibarationable|"importoamalg #1"|fragrances|NULL|447.04713804713805
callyantibarationable|"importoamalg #1"|fragrances|Women|447.04713804713805
barbarantically|NULL|NULL|NULL|447.08843537414964
barbarantically|"exportischolar #1"|NULL|NULL|447.08843537414964
barbarantically|"exportischolar #1"|pop|NULL|447.08843537414964
barbarantically|"exportischolar #1"|pop|Music|447.08843537414964
callyableeseantipri|NULL|NULL|NULL|447.19269102990035
callyableeseantipri|"amalgimporto #1"|NULL|NULL|447.19269102990035
callyableeseantipri|"amalgimporto #1"|accessories|NULL|447.19269102990035
callyableeseantipri|"amalgimporto #1"|accessories|Men|447.19269102990035
antieingableese|NULL|NULL|NULL|447.63986013986016
antieingableese|"amalgamalg #2"|NULL|NULL|447.63986013986016
antieingableese|"amalgamalg #2"|dresses|NULL|447.63986013986016
antieingableese|"amalgamalg #2"|dresses|Women|447.63986013986016
ableeseantieseable|NULL|NULL|NULL|447.7815699658703
ableeseantieseable|"exportischolar #1"|NULL|NULL|447.7815699658703
ableeseantieseable|"exportischolar #1"|pop|NULL|447.7815699658703
ableeseantieseable|"exportischolar #1"|pop|Music|447.7815699658703
oughtationoughtcallyought|NULL|NULL|NULL|448.10333333333335
oughtationoughtcallyought|"corpbrand #4"|NULL|NULL|448.10333333333335
oughtationoughtcallyought|"corpbrand #4"|consignment|NULL|448.10333333333335
oughtationoughtcallyought|"corpbrand #4"|consignment|Jewelry|448.10333333333335
n stcallyn stbarable|NULL|NULL|NULL|448.42424242424244
n stcallyn stbarable|"edu packnameless #10"|NULL|NULL|448.42424242424244
n stcallyn stbarable|"edu packnameless #10"|camping|NULL|448.42424242424244
n stcallyn stbarable|"edu packnameless #10"|camping|Sports|448.42424242424244
antiationeseableable|NULL|NULL|NULL|448.53198653198655
antiationeseableable|"edu packamalgamalg #2"|NULL|NULL|448.53198653198655
antiationeseableable|"edu packamalgamalg #2"|automotive|NULL|448.53198653198655
antiationeseableable|"edu packamalgamalg #2"|automotive|Electronics|448.53198653198655
ationationbarationought|NULL|NULL|NULL|448.64666666666665
ationationbarationought|"scholarnameless #8"|NULL|NULL|448.64666666666665
ationationbarationought|"scholarnameless #8"|tables|NULL|448.64666666666665
ationationbarationought|"scholarnameless #8"|tables|Home|448.64666666666665
ablepriationpriable|NULL|NULL|NULL|449.01666666666665
ablepriationpriable|"importoexporti #1"|NULL|NULL|449.01666666666665
ablepriationpriable|"importoexporti #1"|infants|NULL|449.01666666666665
ablepriationpriable|"importoexporti #1"|infants|Children|449.01666666666665
eingcallypriantiought|NULL|NULL|NULL|449.0408163265306
eingcallypriantiought|"amalgamalgamalg #1"|NULL|NULL|449.0408163265306
eingcallypriantiought|"amalgamalgamalg #1"|disk drives|NULL|449.0408163265306
eingcallypriantiought|"amalgamalgamalg #1"|disk drives|Electronics|449.0408163265306
oughtn stationoughtable|NULL|NULL|NULL|449.8724832214765
oughtn stationoughtable|"amalgedu pack #2"|NULL|NULL|449.8724832214765
oughtn stationoughtable|"amalgedu pack #2"|womens|NULL|449.8724832214765
oughtn stationoughtable|"amalgedu pack #2"|womens|Shoes|449.8724832214765
eseantin stablepri|NULL|NULL|NULL|450.3367697594502
eseantin stablepri|"exportiimporto #1"|NULL|NULL|450.3367697594502
eseantin stablepri|"exportiimporto #1"|pants|NULL|450.3367697594502
eseantin stablepri|"exportiimporto #1"|pants|Men|450.3367697594502
