wsk1|isk1|dmoy1|mean1|cov1|w_warehouse_sk|i_item_sk|d_moy|mean|cov
1|73|1|361.0|1.140796769659217|1|73|2|383.25|1.0073520558762097
1|801|1|265.0|1.3273527912873313|1|801|2|418.25|1.040201475871366
1|1087|1|307.5|1.045518761519038|1|1087|2|280.25|1.0881458169860727
1|2161|1|416.6666666666667|1.007812363488363|1|2161|2|213.75|1.0505632701411234
1|3529|1|288.75|1.1966403707393636|1|3529|2|436.5|1.0355781586939703
1|3851|1|293.25|1.1532503030147045|1|3851|2|360.25|1.2195902584058222
1|5027|1|319.0|1.131972563223747|1|5027|2|204.75|1.076959992427059
1|5113|1|286.5|1.396569166501618|1|5113|2|294.25|1.305037450795109
1|5133|1|415.75|1.0362394939957436|1|5133|2|272.75|1.0487218916827736
1|5817|1|294.25|1.3923817543402461|1|5817|2|320.0|1.0690636722930336
1|6577|1|348.5|1.1653803013344006|1|6577|2|314.5|1.0018959668737157
1|6911|1|307.5|1.2150088486519024|1|6911|2|288.25|1.1465111715167975
1|7061|1|293.0|1.2639142751948382|1|7061|2|223.5|1.251402761626291
1|7269|1|407.75|1.0059095607573902|1|7269|2|326.0|1.0296487978769877
1|7483|1|238.66666666666666|1.3266009823414744|1|7483|2|325.0|1.2417510064945296
1|8111|1|389.0|1.1924474253428667|1|8111|2|317.25|1.1113286807721836
1|8125|1|419.6666666666667|1.0268267850717145|1|8125|2|222.0|1.3437700249827738
1|8145|1|298.0|1.0283907312197713|1|8145|2|327.0|1.3186174130846238
1|8241|1|303.25|1.3725751296874773|1|8241|2|357.5|1.0654699303260369
1|8633|1|409.5|1.099028618296448|1|8633|2|96.5|1.4929594254157408
1|9603|1|296.0|1.0303260196859911|1|9603|2|197.75|1.1028533003498455
1|10615|1|306.75|1.0131764139295845|1|10615|2|377.0|1.1477148397084693
1|10687|1|285.0|1.0826404726137935|1|10687|2|394.0|1.1555138220930135
1|10957|1|386.25|1.093712226998625|1|10957|2|219.75|1.255496521496725
1|11309|1|420.25|1.1637956342458224|1|11309|2|423.25|1.0242464330438807
1|11891|1|375.0|1.0905286519577286|1|11891|2|355.25|1.1576366800775386
1|12715|1|327.3333333333333|1.127768569705042|1|12715|2|337.5|1.0151236801309018
1|12773|1|272.6666666666667|1.322437812994844|1|12773|2|281.0|1.6674904985512902
1|12947|1|269.75|1.1100809880499478|1|12947|2|312.6666666666667|1.2676318628397525
1|12985|1|441.0|1.0258083360321382|1|12985|2|202.33333333333334|1.2712705026111915
1|13303|1|224.33333333333334|1.0402706321039683|1|13303|2|442.75|1.0467264768311455
1|13503|1|310.25|1.3098926838846785|1|13503|2|259.75|1.6904808425007587
1|13539|1|128.0|1.280455800600578|1|13539|2|409.3333333333333|1.0584868981095794
1|13785|1|392.5|1.0271076706029938|1|13785|2|70.75|1.0155307360061547
1|13861|1|282.75|1.0409555145745333|1|13861|2|285.0|1.1588902330586146
1|13911|1|362.5|1.063093102279452|1|13911|2|399.6666666666667|1.1282831666429602
1|14003|1|135.0|1.0940918777858817|1|14003|2|247.66666666666666|1.0471962788364577
1|14483|1|265.6666666666667|1.1506891233025935|1|14483|2|359.6666666666667|1.376822800064674
1|14955|1|352.25|1.065832877751919|1|14955|2|220.5|1.2514952672491075
1|15679|1|358.0|1.0426168642488656|1|15679|2|308.0|1.3482902724546186
1|15803|1|163.66666666666666|1.0054831197721517|1|15803|2|365.0|1.1536231241740134
1|16137|1|235.75|1.1503201397192828|1|16137|2|304.5|1.170606313412115
1|16169|1|270.3333333333333|1.6359485947445451|1|16169|2|323.0|1.0262741509530804
1|17541|1|282.5|1.0472473294123439|1|17541|2|321.5|1.128291691286777
1|17733|1|222.5|1.6854771514701|1|17733|2|319.75|1.1539979782491927
1|17967|1|514.5|1.020900431955522|1|17967|2|344.25|1.0430055528736608
1|19039|1|447.5|1.003051636216821|1|19039|2|184.33333333333334|1.1264371392550376
1|19135|1|347.5|1.0046215858826577|1|19135|2|205.75|1.0314870179905395
1|19585|1|364.75|1.0013008207082401|1|19585|2|364.5|1.0560988983344404
1|19675|1|342.75|1.3221306833817554|1|19675|2|130.5|1.2262212529106749
1|19923|1|314.0|1.3941335158333934|1|19923|2|249.25|1.0020851646230062
1|19987|1|153.25|1.6421554323541505|1|19987|2|227.75|1.2636007730187973
1|20001|1|240.66666666666666|1.035329445277637|1|20001|2|266.25|1.0739086083369935
1|20099|1|267.75|1.0362979160078873|1|20099|2|394.0|1.0470622412709512
1|20107|1|295.0|1.0419782450797048|1|20107|2|332.0|1.0211835494562047
1|20951|1|495.75|1.121156113084391|1|20951|2|363.25|1.2202930642298433
1|21519|1|394.6666666666667|1.0698640119488012|1|21519|2|238.5|1.0399309031028767
1|21969|1|310.75|1.2752471207927265|1|21969|2|391.3333333333333|1.3069501494732065
1|22001|1|376.6666666666667|1.3715475241532982|1|22001|2|224.5|1.1703625492204999
1|22983|1|236.0|1.0129275471811203|1|22983|2|348.75|1.151761427773055
1|23095|1|309.5|1.0039769269474659|1|23095|2|376.75|1.0710875031335056
1|23693|1|416.3333333333333|1.0542337989948012|1|23693|2|416.5|1.002357109549729
1|23859|1|324.25|1.3525649028930389|1|23859|2|184.0|1.3966439656296372
1|24255|1|338.0|1.004706894631267|1|24255|2|369.5|1.0408349788988749
1|25009|1|446.25|1.074237154201265|1|25009|2|272.75|1.2423082082700105
1|25035|1|290.3333333333333|1.3417342178947322|1|25035|2|309.0|1.4194840289752577
1|25585|1|338.0|1.5179014194019465|1|25585|2|368.0|1.1836352641600905
1|27253|1|324.3333333333333|1.2865729213214057|1|27253|2|365.25|1.0196362478131453
