s_store_name|s_store_id|sun_sales|mon_sales|tue_sales|wed_sales|thu_sales|fri_sales|sat_sales
able|AAAAAAAAACAAAAAA|524644.17|468403.39|499903.22|495873.65|509487.06|512492.67|537898.66
able|AAAAAAAACAAAAAAA|521155.55|503465.93|493360.72|516019.46|498138.79|511512.90|498395.23
able|AAAAAAAAGBAAAAAA|504664.96|493619.18|484402.24|511812.84|494092.26|508239.15|534963.55
anti|AAAAAAAAJBAAAAAA|538974.08|521090.94|492386.11|488681.77|520999.01|507792.42|542118.32
ation|AAAAAAAAHAAAAAAA|531896.07|486890.89|498472.12|479046.24|510324.62|482214.92|533389.31
bar|AAAAAAAAEBAAAAAA|552164.74|505006.30|479614.65|498059.03|518696.85|503157.61|540453.31
bar|AAAAAAAAKAAAAAAA|515851.81|492042.84|493457.75|498563.89|509635.00|506450.25|507337.36
cally|AAAAAAAAABAAAAAA|557402.29|474235.59|473544.43|527260.37|527715.04|511590.16|552528.97
eing|AAAAAAAAIAAAAAAA|534391.92|489794.99|492181.09|489338.94|506667.87|481023.16|555061.38
eing|AAAAAAAAMBAAAAAA|517920.33|490990.12|487896.55|469250.09|512997.78|498005.51|509129.28
ese|AAAAAAAAEAAAAAAA|556993.24|487022.87|517930.37|493112.63|505608.87|518969.17|542194.53
ese|AAAAAAAAOAAAAAAA|530242.88|516169.87|523711.45|515329.26|519813.21|490286.03|556831.56
n st|AAAAAAAADBAAAAAA|518856.70|490093.84|496772.21|492813.25|514186.46|479954.63|508944.23
ought|AAAAAAAABAAAAAAA|509648.41|469297.19|497000.72|501497.74|503131.77|501803.88|512621.86
ought|AAAAAAAAPBAAAAAA|555215.54|518417.48|493031.80|522735.37|503758.80|510286.84|524389.73
pri|AAAAAAAANAAAAAAA|529336.13|493359.75|477747.13|525419.17|540454.23|532191.08|518617.42
