item_sk|d_date|web_sales|store_sales|web_cumulative|store_cumulative
1|2000-01-29|218.60|NULL|218.60|129.23
1|2000-01-30|230.47|NULL|230.47|129.23
1|2000-02-07|NULL|198.96|230.47|198.96
1|2000-03-22|451.09|NULL|451.09|376.18
1|2000-03-28|NULL|393.81|451.09|393.81
1|2000-03-29|453.39|NULL|453.39|393.81
1|2000-04-06|NULL|425.26|453.39|425.26
1|2000-04-07|NULL|452.97|453.39|452.97
5|2000-01-04|59.55|NULL|59.55|43.93
5|2000-01-16|141.59|NULL|141.59|43.93
5|2000-01-17|NULL|58.79|141.59|58.79
5|2000-01-29|NULL|112.53|141.59|112.53
5|2000-01-31|NULL|118.39|141.59|118.39
5|2000-02-08|281.57|NULL|281.57|118.39
5|2000-02-23|NULL|190.37|281.57|190.37
5|2000-03-01|NULL|204.27|281.57|204.27
11|2000-01-03|15.87|NULL|15.87|2.78
11|2000-01-04|NULL|4.74|15.87|4.74
11|2000-01-20|NULL|12.13|15.87|12.13
13|2000-01-17|NULL|1.19|13.92|1.19
19|2000-01-02|121.33|91.80|121.33|91.80
20|2000-01-24|289.49|NULL|289.49|255.98
23|2000-05-02|375.82|NULL|375.82|367.32
23|2000-05-05|NULL|367.62|375.82|367.62
23|2000-05-18|462.17|NULL|462.17|457.21
23|2000-06-02|510.76|NULL|510.76|495.94
23|2000-06-28|618.38|NULL|618.38|587.06
23|2000-07-05|NULL|613.43|618.38|613.43
25|2000-01-02|80.32|2.03|80.32|2.03
25|2000-01-10|NULL|79.75|80.32|79.75
29|2000-01-20|140.87|NULL|140.87|97.03
29|2000-01-23|NULL|125.18|140.87|125.18
29|2000-01-31|NULL|134.29|140.87|134.29
29|2000-02-10|165.21|151.20|165.21|151.20
29|2000-02-11|310.76|NULL|310.76|151.20
29|2000-02-15|NULL|163.87|310.76|163.87
29|2000-02-29|NULL|229.35|310.76|229.35
29|2000-03-09|325.68|NULL|325.68|229.35
29|2000-03-13|NULL|233.27|325.68|233.27
29|2000-03-16|372.86|NULL|372.86|233.27
29|2000-03-22|NULL|251.45|372.86|251.45
29|2000-03-27|373.37|258.75|373.37|258.75
29|2000-04-02|NULL|261.18|373.37|261.18
29|2000-04-07|NULL|296.11|373.37|296.11
29|2000-04-10|NULL|322.42|373.37|322.42
29|2000-04-14|NULL|360.06|373.37|360.06
29|2000-04-18|457.60|NULL|457.60|360.06
29|2000-04-21|NULL|366.84|457.60|366.84
29|2000-04-25|NULL|372.88|457.60|372.88
29|2000-04-29|NULL|374.89|457.60|374.89
31|2000-02-11|NULL|69.69|391.00|69.69
31|2000-02-14|NULL|212.10|391.00|212.10
31|2000-02-19|NULL|287.89|391.00|287.89
31|2000-02-21|NULL|293.42|391.00|293.42
31|2000-02-23|427.91|NULL|427.91|293.42
31|2000-02-26|471.33|NULL|471.33|293.42
31|2000-02-29|NULL|329.65|471.33|329.65
31|2000-03-02|NULL|415.20|471.33|415.20
31|2000-03-05|NULL|422.40|471.33|422.40
31|2000-03-10|NULL|457.67|471.33|457.67
31|2000-03-17|NULL|457.67|471.33|457.67
31|2000-03-20|482.09|NULL|482.09|457.67
31|2000-03-23|NULL|459.21|482.09|459.21
31|2000-04-15|685.71|NULL|685.71|527.46
31|2000-04-17|701.19|NULL|701.19|527.46
31|2000-04-22|NULL|621.74|701.19|621.74
31|2000-04-24|NULL|621.74|701.19|621.74
31|2000-05-01|NULL|646.12|701.19|646.12
31|2000-05-15|NULL|666.55|701.19|666.55
41|2000-01-04|NULL|3.18|9.08|3.18
47|2000-01-08|NULL|20.25|27.12|20.25
49|2000-01-03|16.10|NULL|16.10|4.10
49|2000-01-12|63.49|NULL|63.49|4.10
49|2000-01-16|203.82|21.23|203.82|21.23
49|2000-01-20|NULL|58.25|203.82|58.25
49|2000-02-14|NULL|99.39|203.82|99.39
53|2000-01-07|41.94|NULL|41.94|34.44
53|2000-01-09|89.65|NULL|89.65|34.44
53|2000-01-11|NULL|48.03|89.65|48.03
53|2000-01-20|NULL|54.14|89.65|54.14
53|2000-05-05|642.01|NULL|642.01|584.36
53|2000-05-12|NULL|621.94|642.01|621.94
56|2000-02-02|NULL|17.17|97.27|17.17
65|2000-01-09|115.88|29.82|115.88|29.82
65|2000-01-13|130.68|NULL|130.68|29.82
65|2000-01-16|NULL|126.61|130.68|126.61
67|2000-01-02|35.53|NULL|35.53|17.48
67|2000-01-04|142.62|NULL|142.62|17.48
67|2000-01-05|NULL|57.90|142.62|57.90
67|2000-01-07|NULL|98.66|142.62|98.66
67|2000-01-10|NULL|105.29|142.62|105.29
67|2000-01-25|297.08|NULL|297.08|186.02
67|2000-01-29|NULL|210.58|297.08|210.58
67|2000-02-01|NULL|216.83|297.08|216.83
68|2000-01-02|NULL|2.29|198.28|2.29
68|2000-01-06|198.55|NULL|198.55|2.29
68|2000-01-15|NULL|110.39|198.55|110.39
68|2000-01-17|397.42|NULL|397.42|110.39
68|2000-01-21|NULL|180.56|397.42|180.56
68|2000-01-31|NULL|304.04|397.42|304.04
