channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|1|NULL|3|4178.89
catalog|cs_ship_addr_sk|1998|1|Books|37|64705.37
catalog|cs_ship_addr_sk|1998|1|Children|34|65889.82
catalog|cs_ship_addr_sk|1998|1|Electronics|24|34969.30
catalog|cs_ship_addr_sk|1998|1|Home|32|89668.12
catalog|cs_ship_addr_sk|1998|1|Jewelry|28|23649.22
catalog|cs_ship_addr_sk|1998|1|Men|28|18376.82
catalog|cs_ship_addr_sk|1998|1|Music|33|39249.86
catalog|cs_ship_addr_sk|1998|1|Shoes|35|81654.35
catalog|cs_ship_addr_sk|1998|1|Sports|32|58751.20
catalog|cs_ship_addr_sk|1998|1|Women|43|54545.90
catalog|cs_ship_addr_sk|1998|2|Books|25|11825.17
catalog|cs_ship_addr_sk|1998|2|Children|37|40499.24
catalog|cs_ship_addr_sk|1998|2|Electronics|35|56304.23
catalog|cs_ship_addr_sk|1998|2|Home|31|14679.33
catalog|cs_ship_addr_sk|1998|2|Jewelry|30|52734.84
catalog|cs_ship_addr_sk|1998|2|Men|29|52465.00
catalog|cs_ship_addr_sk|1998|2|Music|31|29343.09
catalog|cs_ship_addr_sk|1998|2|Shoes|32|39672.75
catalog|cs_ship_addr_sk|1998|2|Sports|38|41318.64
catalog|cs_ship_addr_sk|1998|2|Women|29|17353.03
catalog|cs_ship_addr_sk|1998|3|NULL|2|NULL
catalog|cs_ship_addr_sk|1998|3|Books|53|81737.54
catalog|cs_ship_addr_sk|1998|3|Children|51|96956.96
catalog|cs_ship_addr_sk|1998|3|Electronics|50|57288.92
catalog|cs_ship_addr_sk|1998|3|Home|56|51292.57
catalog|cs_ship_addr_sk|1998|3|Jewelry|64|116193.88
catalog|cs_ship_addr_sk|1998|3|Men|60|77472.23
catalog|cs_ship_addr_sk|1998|3|Music|53|47774.12
catalog|cs_ship_addr_sk|1998|3|Shoes|53|41649.79
catalog|cs_ship_addr_sk|1998|3|Sports|59|75223.74
catalog|cs_ship_addr_sk|1998|3|Women|56|68406.03
catalog|cs_ship_addr_sk|1998|4|NULL|3|1028.69
catalog|cs_ship_addr_sk|1998|4|Books|89|129331.15
catalog|cs_ship_addr_sk|1998|4|Children|103|147741.51
catalog|cs_ship_addr_sk|1998|4|Electronics|104|111539.63
catalog|cs_ship_addr_sk|1998|4|Home|94|109824.80
catalog|cs_ship_addr_sk|1998|4|Jewelry|77|140457.86
catalog|cs_ship_addr_sk|1998|4|Men|86|90518.17
catalog|cs_ship_addr_sk|1998|4|Music|87|128134.54
catalog|cs_ship_addr_sk|1998|4|Shoes|98|98683.59
catalog|cs_ship_addr_sk|1998|4|Sports|90|108456.74
catalog|cs_ship_addr_sk|1998|4|Women|83|82994.36
catalog|cs_ship_addr_sk|1999|1|NULL|1|686.25
catalog|cs_ship_addr_sk|1999|1|Books|19|37826.26
catalog|cs_ship_addr_sk|1999|1|Children|32|40832.20
catalog|cs_ship_addr_sk|1999|1|Electronics|24|34581.36
catalog|cs_ship_addr_sk|1999|1|Home|34|51127.74
catalog|cs_ship_addr_sk|1999|1|Jewelry|33|29635.42
catalog|cs_ship_addr_sk|1999|1|Men|21|28316.78
catalog|cs_ship_addr_sk|1999|1|Music|25|33432.09
catalog|cs_ship_addr_sk|1999|1|Shoes|18|8475.07
catalog|cs_ship_addr_sk|1999|1|Sports|33|47352.49
catalog|cs_ship_addr_sk|1999|1|Women|32|25485.16
catalog|cs_ship_addr_sk|1999|2|NULL|1|386.88
catalog|cs_ship_addr_sk|1999|2|Books|27|45164.85
catalog|cs_ship_addr_sk|1999|2|Children|34|23667.54
catalog|cs_ship_addr_sk|1999|2|Electronics|24|52130.30
catalog|cs_ship_addr_sk|1999|2|Home|34|61169.84
catalog|cs_ship_addr_sk|1999|2|Jewelry|41|21633.68
catalog|cs_ship_addr_sk|1999|2|Men|43|54618.47
catalog|cs_ship_addr_sk|1999|2|Music|41|32914.75
catalog|cs_ship_addr_sk|1999|2|Shoes|25|48961.33
catalog|cs_ship_addr_sk|1999|2|Sports|41|66558.39
catalog|cs_ship_addr_sk|1999|2|Women|32|44980.80
catalog|cs_ship_addr_sk|1999|3|NULL|4|950.74
catalog|cs_ship_addr_sk|1999|3|Books|56|63633.07
catalog|cs_ship_addr_sk|1999|3|Children|70|98117.18
catalog|cs_ship_addr_sk|1999|3|Electronics|54|69311.84
catalog|cs_ship_addr_sk|1999|3|Home|66|64448.91
catalog|cs_ship_addr_sk|1999|3|Jewelry|59|101069.83
catalog|cs_ship_addr_sk|1999|3|Men|51|55129.04
catalog|cs_ship_addr_sk|1999|3|Music|56|92715.92
catalog|cs_ship_addr_sk|1999|3|Shoes|64|67979.25
catalog|cs_ship_addr_sk|1999|3|Sports|57|102211.70
catalog|cs_ship_addr_sk|1999|3|Women|64|75009.16
catalog|cs_ship_addr_sk|1999|4|NULL|1|NULL
catalog|cs_ship_addr_sk|1999|4|Books|95|94951.32
catalog|cs_ship_addr_sk|1999|4|Children|95|130794.40
catalog|cs_ship_addr_sk|1999|4|Electronics|104|118946.97
catalog|cs_ship_addr_sk|1999|4|Home|94|148883.25
catalog|cs_ship_addr_sk|1999|4|Jewelry|89|101829.03
catalog|cs_ship_addr_sk|1999|4|Men|69|107096.73
catalog|cs_ship_addr_sk|1999|4|Music|119|152456.87
catalog|cs_ship_addr_sk|1999|4|Shoes|96|117898.89
catalog|cs_ship_addr_sk|1999|4|Sports|108|122676.14
catalog|cs_ship_addr_sk|1999|4|Women|91|114171.85
catalog|cs_ship_addr_sk|2000|1|Books|26|28950.66
catalog|cs_ship_addr_sk|2000|1|Children|35|45019.93
catalog|cs_ship_addr_sk|2000|1|Electronics|40|84667.84
catalog|cs_ship_addr_sk|2000|1|Home|30|24040.34
catalog|cs_ship_addr_sk|2000|1|Jewelry|34|49230.13
catalog|cs_ship_addr_sk|2000|1|Men|39|26843.35
catalog|cs_ship_addr_sk|2000|1|Music|30|58135.43
catalog|cs_ship_addr_sk|2000|1|Shoes|31|65910.79
catalog|cs_ship_addr_sk|2000|1|Sports|25|13536.38
catalog|cs_ship_addr_sk|2000|1|Women|31|34179.19
catalog|cs_ship_addr_sk|2000|2|NULL|4|3871.71
catalog|cs_ship_addr_sk|2000|2|Books|34|89268.44
catalog|cs_ship_addr_sk|2000|2|Children|29|33517.40
