c_last_name|c_first_name|"""substring""(s_city, 1, 30)"|ss_ticket_number|amt|profit
NULL|NULL|Fairview|175346|NULL|NULL
NULL|NULL|Fairview|352718|84.79|NULL
NULL|NULL|Fairview|538612|0.00|NULL
NULL|NULL|Fairview|256287|4222.44|-31108.47
NULL|NULL|Fairview|505376|1485.11|-30312.95
NULL|NULL|Fairview|714441|76.25|-25191.56
NULL|NULL|Fairview|356611|433.45|-22984.65
NULL|NULL|Fairview|540246|1284.43|-21255.90
NULL|NULL|Fairview|207282|389.23|-19281.80
NULL|NULL|Fairview|589965|0.00|-19017.61
NULL|NULL|Fairview|636158|442.28|-18885.48
NULL|NULL|Fairview|217173|1501.22|-18755.89
NULL|NULL|Fairview|229566|583.19|-18660.89
NULL|NULL|Fairview|668111|4666.34|-18464.07
NULL|NULL|Fairview|414433|1628.88|-18348.41
NULL|NULL|Fairview|351754|3580.22|-16807.01
NULL|NULL|Fairview|352718|8997.17|-15621.43
NULL|NULL|Fairview|250221|456.51|-14796.18
NULL|NULL|Fairview|202278|858.43|-14608.91
NULL|NULL|Fairview|442874|3175.11|-14567.68
NULL|NULL|Fairview|538612|747.20|-14462.44
NULL|NULL|Fairview|472782|2967.75|-14195.25
NULL|NULL|Fairview|287010|2817.79|-14035.98
NULL|NULL|Fairview|200334|836.58|-14002.49
NULL|NULL|Fairview|159742|3230.63|-13929.03
NULL|NULL|Fairview|244624|1357.29|-13851.43
NULL|NULL|Fairview|175346|264.90|-13653.66
NULL|NULL|Fairview|600807|944.83|-13306.21
NULL|NULL|Fairview|607135|4228.34|-13220.56
NULL|NULL|Fairview|579650|1419.69|-12780.01
NULL|NULL|Fairview|200412|4250.59|-12687.35
NULL|NULL|Fairview|470442|132.46|-12603.45
NULL|NULL|Fairview|531209|4502.66|-12285.52
NULL|NULL|Fairview|149095|2221.74|-11952.50
NULL|NULL|Fairview|228042|1480.41|-11597.54
NULL|NULL|Fairview|662480|43.76|-11450.95
NULL|NULL|Fairview|328461|5327.88|-11360.54
NULL|NULL|Fairview|718294|680.84|-11331.87
NULL|NULL|Fairview|28845|1589.45|-10662.81
NULL|NULL|Fairview|601010|1680.96|-10600.43
NULL|NULL|Fairview|17002|1733.93|-10491.42
NULL|NULL|Fairview|93860|22.33|-10472.24
NULL|NULL|Fairview|595864|2256.39|-10379.13
NULL|NULL|Fairview|668147|5626.91|-10152.24
NULL|NULL|Fairview|153448|4690.15|-9976.96
NULL|NULL|Fairview|659967|2398.51|-9942.07
NULL|NULL|Fairview|111513|4057.19|-9717.13
NULL|NULL|Fairview|385508|5.80|-9687.70
NULL|NULL|Fairview|589808|0.00|-9628.04
NULL|NULL|Fairview|467861|3199.26|-9536.58
NULL|NULL|Fairview|273191|670.57|-9069.17
NULL|NULL|Fairview|284021|4963.10|-8881.21
NULL|NULL|Fairview|402049|933.61|-8786.15
NULL|NULL|Fairview|66561|411.03|-8610.15
NULL|NULL|Fairview|499162|3464.03|-8357.67
NULL|NULL|Fairview|569157|470.80|-8328.41
NULL|NULL|Fairview|335595|0.00|-8223.06
NULL|NULL|Fairview|402919|111.83|-8037.48
NULL|NULL|Fairview|390862|118.38|-8001.89
NULL|NULL|Fairview|5319|0.00|-7982.26
NULL|NULL|Fairview|201329|1017.02|-7621.52
NULL|NULL|Fairview|146780|6966.19|-7455.22
NULL|NULL|Fairview|406489|9040.69|-7381.32
NULL|NULL|Fairview|13623|4453.75|-7110.89
NULL|NULL|Fairview|146611|1476.88|-7077.30
NULL|NULL|Fairview|164993|5567.15|-6962.44
NULL|NULL|Fairview|348465|1668.54|-6759.46
NULL|NULL|Fairview|140890|1262.12|-6740.66
NULL|NULL|Fairview|693512|4780.82|-6576.56
NULL|NULL|Fairview|626642|4166.60|-6541.11
NULL|NULL|Fairview|103005|1831.61|-6453.19
NULL|NULL|Fairview|645194|485.41|-6386.57
NULL|NULL|Fairview|703838|1895.90|-6341.25
NULL|NULL|Fairview|507241|6267.16|-6337.09
NULL|NULL|Fairview|254891|1010.60|-6234.27
NULL|NULL|Fairview|272457|0.00|-6039.47
NULL|NULL|Fairview|156844|2125.55|-6031.30
NULL|NULL|Fairview|480353|2165.14|-5990.80
NULL|NULL|Fairview|506955|0.00|-5608.03
NULL|NULL|Fairview|719546|0.00|-5589.89
NULL|NULL|Fairview|462822|6091.29|-5587.20
NULL|NULL|Fairview|559723|1782.30|-5576.99
NULL|NULL|Fairview|547607|4314.89|-5341.71
NULL|NULL|Fairview|289700|654.70|-5257.98
NULL|NULL|Fairview|347857|1382.06|-5199.64
NULL|NULL|Fairview|24438|1642.32|-5073.61
NULL|NULL|Fairview|135563|1001.59|-4919.99
NULL|NULL|Fairview|105293|0.00|-4905.58
NULL|NULL|Fairview|269837|1685.86|-4863.93
NULL|NULL|Fairview|368221|1857.48|-4677.46
NULL|NULL|Fairview|359831|136.27|-4483.08
NULL|NULL|Fairview|471077|0.00|-4115.95
NULL|NULL|Fairview|100442|365.02|-4014.20
NULL|NULL|Fairview|254942|0.00|-3883.63
NULL|NULL|Fairview|386626|1740.62|-3708.96
NULL|NULL|Fairview|250698|853.50|-3244.92
NULL|NULL|Fairview|596245|0.00|-3183.90
NULL|NULL|Fairview|453346|1008.34|-3179.81
NULL|NULL|Fairview|563251|1002.14|-3127.20
NULL|NULL|Fairview|440160|60.27|-3093.69
