nation|o_year|sum_profit
ALGERIA|1998|2321785.3682
ALGERIA|1997|3685016.8589
ALGERIA|1996|4276597.4253
ALGERIA|1995|4418370.4154
ALGERIA|1994|3864849.9521
ALGERIA|1993|3541051.3865
ALGERIA|1992|4310013.3482
ARGENTINA|1998|2685983.8005
ARGENTINA|1997|4242147.8124
ARGENTINA|1996|3907867.0103
ARGENTINA|1995|4605921.5011
ARGENTINA|1994|3542096.1564
ARGENTINA|1993|3949965.9388
ARGENTINA|1992|4521180.4695
BRAZIL|1998|2778730.3931
BRAZIL|1997|4642037.4687
BRAZIL|1996|4530304.6034
BRAZIL|1995|4502344.8657
BRAZIL|1994|4875806.5015
BRAZIL|1993|4687478.6531
BRAZIL|1992|5035200.0464
CANADA|1998|2194509.0465
CANADA|1997|3482197.9521
CANADA|1996|3712231.2814
CANADA|1995|4014814.8476
CANADA|1994|4145304.4855
CANADA|1993|3787069.6045
CANADA|1992|4168009.4201
CHINA|1998|3398578.0001
CHINA|1997|6358959.3338
CHINA|1996|6435158.3229
CHINA|1995|6174776.2113
CHINA|1994|6385751.0812
CHINA|1993|5765034.1194
CHINA|1992|6324034.2379
EGYPT|1998|2333148.3334
EGYPT|1997|3661244.2731
EGYPT|1996|3765371.2368
EGYPT|1995|4094744.2925
EGYPT|1994|3566508.0818
EGYPT|1993|3725283.7747
EGYPT|1992|3373762.3335
ETHIOPIA|1998|1953927.2682
ETHIOPIA|1997|3285786.3266
ETHIOPIA|1996|3525028.7952
ETHIOPIA|1995|3781674.8911
ETHIOPIA|1994|3037409.4360
ETHIOPIA|1993|3008978.2677
ETHIOPIA|1992|2721203.2355
FRANCE|1998|2604373.8805
FRANCE|1997|3982872.0488
FRANCE|1996|3622479.2413
FRANCE|1995|4479939.7020
FRANCE|1994|3531013.1981
FRANCE|1993|4086437.3102
FRANCE|1992|3637792.1333
GERMANY|1998|3291023.2965
GERMANY|1997|5139337.3443
GERMANY|1996|4799810.4577
GERMANY|1995|5405785.7978
GERMANY|1994|4555556.4592
GERMANY|1993|4428195.1019
GERMANY|1992|4656148.4204
INDIA|1998|2591288.1874
INDIA|1997|5159562.7033
INDIA|1996|5307258.3049
INDIA|1995|5148208.7902
INDIA|1994|5164001.9582
INDIA|1993|4321398.4388
INDIA|1992|5297703.6935
INDONESIA|1998|3094900.1597
INDONESIA|1997|5719773.0358
INDONESIA|1996|6037238.5993
INDONESIA|1995|5266783.4899
INDONESIA|1994|5470762.8729
INDONESIA|1993|6189826.6613
INDONESIA|1992|4414623.1549
IRAN|1998|3214864.1209
IRAN|1997|3688049.0691
IRAN|1996|3621649.2247
IRAN|1995|4420783.4205
IRAN|1994|4373984.6523
IRAN|1993|3731301.7814
IRAN|1992|4417133.3662
IRAQ|1998|2338859.4099
IRAQ|1997|3622681.5643
IRAQ|1996|4762291.8722
IRAQ|1995|4558092.7359
IRAQ|1994|4951604.1699
IRAQ|1993|3830077.9911
IRAQ|1992|3938636.4874
JAPAN|1998|1849535.0802
JAPAN|1997|4068688.8537
JAPAN|1996|4044774.7597
JAPAN|1995|4793005.8027
JAPAN|1994|4114717.0568
JAPAN|1993|3614468.7485
JAPAN|1992|4266694.4700
JORDAN|1998|1811488.0719
JORDAN|1997|2951297.8678
JORDAN|1996|3302528.3067
JORDAN|1995|3221813.9990
