s_acctbal|s_name|n_name|p_partkey|p_mfgr|s_address|s_phone|s_comment
9994.37|"Supplier#000030084"|GERMANY|380077|"Manufacturer#5"|Lpmw8Ht4rC,xjMQ0p50CkyG7764|17-519-171-6883|thely express instructions. regular hockey players was furiously. quickly pendi
9992.54|"Supplier#000099650"|RUSSIA|824625|"Manufacturer#3"|u8irlfFJRKkGmndVKa4LY|32-971-481-2533|ironic ideas. special, ironic requests nag blithely. ironic deposits use furiously 
9987.51|"Supplier#000020657"|ROMANIA|395653|"Manufacturer#5"|XBf0Sq7X2xE0ZTakAq Rsq01lutxjWg|29-167-460-7830| unusual requests cajole across the fluffily final requests.
9986.40|"Supplier#000082995"|RUSSIA|1782994|"Manufacturer#5"|p3Ipd2Un6pIK2|32-510-919-3096|e packages. slyly unusual ideas use slyly. blithely ironic requests integrate furi
9984.69|"Supplier#000008875"|ROMANIA|633856|"Manufacturer#4"|K9NcAhAt60 jA|29-132-904-4395| carefully. furiously ironic requests about the care
9984.30|"Supplier#000081977"|RUSSIA|1356963|"Manufacturer#5"|LMEM2XU7iYiU1qySKHCxvp|32-569-570-6149|, pending instructions unwind among
9983.76|"Supplier#000024757"|RUSSIA|599751|"Manufacturer#4"|xhP0Gm9AvzxXWjV3Ukz9rmh3s06o1|32-868-781-9721|regular accounts sleep furiously furiously close notornis. carefully silent foxes arou
9980.25|"Supplier#000067392"|RUSSIA|192388|"Manufacturer#2"|Dmaw gIXZU1,iT1|32-872-236-1034|to the slyly quick deposits. blithely special accounts boost furi
9974.93|"Supplier#000072260"|ROMANIA|397250|"Manufacturer#3"|JH BmpisKGh0AISYAHgyM,AJe4WcXI,TI|29-745-482-4154|play furiously according to the slyly unusual packages? slyly express instructions x-ray
9971.99|"Supplier#000016715"|FRANCE|691708|"Manufacturer#2"|qHmxVVnEedvr5j1|16-401-454-3384|. furiously brave dependencies m
9968.96|"Supplier#000085431"|ROMANIA|1885430|"Manufacturer#4"|,JJ6NvcTq5k|29-402-887-2528|des cajole across the furiously regular accounts; regular foxes haggle quickly across the furio
9967.60|"Supplier#000028837"|ROMANIA|228836|"Manufacturer#2"|LqQdPou57tmHHJKlCNqgutRxG|29-105-576-2294| pinto beans. even accounts cajole abou
9967.60|"Supplier#000028837"|ROMANIA|1828836|"Manufacturer#4"|LqQdPou57tmHHJKlCNqgutRxG|29-105-576-2294| pinto beans. even accounts cajole abou
9966.67|"Supplier#000030306"|UNITED KINGDOM|1280281|"Manufacturer#3"|uYbzF DXpZh942gzOveePcs217MFWCvV9sB|33-758-232-4917| pinto beans sleep alongside of 
9962.57|"Supplier#000034645"|ROMANIA|759623|"Manufacturer#4"|N3YBJpyKHSw5NS6UC42zVPacQuo|29-629-100-1429|s wake furiously slyly express excuses. slyly blithe accounts lose a
9957.83|"Supplier#000012588"|ROMANIA|12587|"Manufacturer#1"|TO9shduokTtrABLH3gK bzUxPMc7g|29-373-772-7126|nstructions. slyly bold forges haggle blithely carefully regular accounts. fluf
9956.67|"Supplier#000074260"|FRANCE|124257|"Manufacturer#2"|5SXrY50BbS lyD5vHcho,QTscW|16-511-538-8136|s. furiously unusual theodolites haggle furiously. regular, 
9945.36|"Supplier#000036819"|ROMANIA|761797|"Manufacturer#4"|ehLsFCaW7Afny24rH3eRHl8HA8zT1DjvjE6x7|29-370-897-9499|ages nag regular, regular accounts. special, special requests use furi
9944.02|"Supplier#000010019"|ROMANIA|1810018|"Manufacturer#4"|VLtSIsInE0HovhLRId91z54Mqz fDa8|29-695-919-1392|p furiously furiously even asymptotes-- furiously even instructions are
9942.90|"Supplier#000019177"|GERMANY|494172|"Manufacturer#5"|86idM87abnJTncO3xM|17-316-670-1231|packages sublate slyly after the carefully pending reque
9940.76|"Supplier#000031587"|GERMANY|556571|"Manufacturer#5"|BcHjdtFvWIU37TyATh6YcY 2XO|17-221-164-2555|ackages. slyly regular deposits use deposits. bravely brave de
9939.40|"Supplier#000028113"|RUSSIA|428112|"Manufacturer#2"|k DcCBgpMB0ZnwQMvsR8kisQh5Ff|32-938-722-6528|ly final platelets. blithely final deposits across the ironic packages 
9939.40|"Supplier#000028113"|RUSSIA|1253076|"Manufacturer#5"|k DcCBgpMB0ZnwQMvsR8kisQh5Ff|32-938-722-6528|ly final platelets. blithely final deposits across the ironic packages 
9938.69|"Supplier#000048337"|RUSSIA|1448336|"Manufacturer#5"|z3kqIvUL8pMNaxcyWppqbnzD5 osusmgSKZ|32-566-156-5537|ve the regular, final packages nag blithely around the fur
9938.58|"Supplier#000094826"|FRANCE|1494825|"Manufacturer#4"|ZaBH1 BcsBO6 MRtGR0iDMdnuFY|16-253-529-1094|equests. carefully final depo
9937.53|"Supplier#000042994"|GERMANY|1442993|"Manufacturer#3"|b0qN6WpAavcoY kQ tNQE8PPm7UbC7cL|17-429-634-1843|he furiously special instructions. qui
9936.01|"Supplier#000064630"|FRANCE|1289593|"Manufacturer#5"|P4XGdMfkIdZDTvSXBijmC7NWzNvKBD5|16-782-698-5265| pending, final ideas along the bold packages nag permanently along the special requests. sl
9936.00|"Supplier#000042253"|ROMANIA|142252|"Manufacturer#4"|ARxAlQq4tNOWyOKtO8r9jr2|29-148-772-1827|fully regular packages sleep sil
9934.88|"Supplier#000096830"|FRANCE|621811|"Manufacturer#3"|h ,hcS8fc9nRvrHuL,8EGFivUtW7v85eerAQfk|16-418-502-3708|ing requests wake furiously after the blithely even theodolites. close dependenci
9934.44|"Supplier#000009762"|GERMANY|1234725|"Manufacturer#4"| zsPDGm0S 855ZDWb6D6R3|17-758-315-1893| regular deposits; blithely regular deposits serve across the carefully fin
9932.47|"Supplier#000068671"|UNITED KINGDOM|568670|"Manufacturer#1"|huPL NdUzgsCi62GMP22pnwMOtgwFdIb1Ykq1E1|33-345-114-7234|y carefully slow pinto beans. final theodolites wake slyly busy theodolites. careful
9923.62|"Supplier#000037153"|UNITED KINGDOM|562137|"Manufacturer#1"| 6XWaGMx 2NrYx6SPac0dr1KWuIgvUenmt0Mx|33-691-756-3666|to detect. even braids alongside of the thinly final instructions use above the careful packages
9920.24|"Supplier#000051485"|GERMANY|1376445|"Manufacturer#2"|2 8D8euLwzoSgpKa 1sjhE0v xYnybMXr|17-317-540-3763|accounts. slyly ironic packages alongside
