nation|o_year|sum_profit
ALGERIA|1998|271504046.5508
ALGERIA|1997|457035986.9555
ALGERIA|1996|457125199.0414
ALGERIA|1995|460972497.0491
ALGERIA|1994|456444975.7127
ALGERIA|1993|456449926.4138
ALGERIA|1992|459548354.7680
ARGENTINA|1998|277792984.9141
ARGENTINA|1997|467555914.5594
ARGENTINA|1996|473886192.7453
ARGENTINA|1995|468457259.9584
ARGENTINA|1994|467071963.6041
ARGENTINA|1993|469523991.9188
ARGENTINA|1992|471169675.3110
BRAZIL|1998|278153002.0221
BRAZIL|1997|460597231.9522
BRAZIL|1996|465471604.2949
BRAZIL|1995|466391978.0645
BRAZIL|1994|466833690.9775
BRAZIL|1993|458908773.7974
BRAZIL|1992|468249491.5476
CANADA|1998|275439101.9486
CANADA|1997|474082096.1969
CANADA|1996|477716584.1506
CANADA|1995|473132576.7989
CANADA|1994|481016610.5184
CANADA|1993|472953555.2640
CANADA|1992|481805640.9016
CHINA|1998|272070640.6693
CHINA|1997|455987131.7972
CHINA|1996|461550593.9761
CHINA|1995|459802419.6238
CHINA|1994|468364356.6721
CHINA|1993|461342701.9660
CHINA|1992|459531255.1026
EGYPT|1998|275826468.5660
EGYPT|1997|468914421.1737
EGYPT|1996|480846171.3455
EGYPT|1995|463269755.5576
EGYPT|1994|474777163.4913
EGYPT|1993|470918443.8884
EGYPT|1992|471122601.0569
ETHIOPIA|1998|267715312.9972
ETHIOPIA|1997|463042117.7117
ETHIOPIA|1996|462188761.8429
ETHIOPIA|1995|463533367.4489
ETHIOPIA|1994|462007399.2744
ETHIOPIA|1993|461582536.7295
ETHIOPIA|1992|467185440.7233
FRANCE|1998|266843901.5058
FRANCE|1997|458070785.3050
FRANCE|1996|461296514.4870
FRANCE|1995|466047944.1293
FRANCE|1994|462634959.9099
FRANCE|1993|456729344.3949
FRANCE|1992|464519631.7119
GERMANY|1998|277397556.0938
GERMANY|1997|470119665.3476
GERMANY|1996|461596286.1090
GERMANY|1995|465597894.3035
GERMANY|1994|476317928.2678
GERMANY|1993|470911293.1517
GERMANY|1992|465347989.0132
INDIA|1998|276060859.8202
INDIA|1997|461350010.4505
INDIA|1996|465503081.6256
INDIA|1995|476533373.1711
INDIA|1994|470640674.3718
INDIA|1993|476166831.7207
INDIA|1992|468465080.1244
INDONESIA|1998|263887697.6394
INDONESIA|1997|459758442.3846
INDONESIA|1996|463748810.0706
INDONESIA|1995|455827964.5786
INDONESIA|1994|465148048.8442
INDONESIA|1993|459510115.3458
INDONESIA|1992|459790363.5135
IRAN|1998|276956529.5896
IRAN|1997|461123229.4762
IRAN|1996|464968475.6132
IRAN|1995|471162133.1922
IRAN|1994|474785986.9553
IRAN|1993|469562836.7682
IRAN|1992|465465715.8846
IRAQ|1998|277184890.0448
IRAQ|1997|466378600.7713
IRAQ|1996|480133899.1072
IRAQ|1995|466034063.5390
IRAQ|1994|470968413.2103
IRAQ|1993|473233523.8618
IRAQ|1992|474325636.4768
JAPAN|1998|274676471.1871
JAPAN|1997|468355529.2414
JAPAN|1996|463254220.8989
JAPAN|1995|462211056.5716
JAPAN|1994|476425762.8922
JAPAN|1993|477905924.9632
JAPAN|1992|472251458.5297
JORDAN|1998|271011284.7221
JORDAN|1997|459687061.1061
JORDAN|1996|456381044.4642
JORDAN|1995|464095807.1109
JORDAN|1994|466714223.7276
JORDAN|1993|462387757.5012
JORDAN|1992|463531445.9571
KENYA|1998|278319101.1281
KENYA|1997|477086607.5796
KENYA|1996|482407976.3832
KENYA|1995|473877239.6725
KENYA|1994|471783682.0154
KENYA|1993|475482414.9827
KENYA|1992|476117840.9487
MOROCCO|1998|272103874.7783
MOROCCO|1997|465001451.0828
MOROCCO|1996|469665068.1007
MOROCCO|1995|475547576.4424
MOROCCO|1994|464206854.3978
MOROCCO|1993|462506582.4236
MOROCCO|1992|466178368.9621
MOZAMBIQUE|1998|273890213.1665
MOZAMBIQUE|1997|460347951.9202
MOZAMBIQUE|1996|459929926.3808
MOZAMBIQUE|1995|451530779.3054
MOZAMBIQUE|1994|462880405.0591
MOZAMBIQUE|1993|456798685.0443
MOZAMBIQUE|1992|452818177.3679
PERU|1998|267707703.5989
PERU|1997|461492437.7051
PERU|1996|465131391.8027
PERU|1995|461370247.5432
PERU|1994|465770647.8782
PERU|1993|467123495.1540
PERU|1992|467445175.0089
ROMANIA|1998|269548831.9483
ROMANIA|1997|460428743.6015
ROMANIA|1996|459940593.0616
ROMANIA|1995|460999009.4708
ROMANIA|1994|452638448.5317
ROMANIA|1993|465847431.8174
ROMANIA|1992|468844942.3408
RUSSIA|1998|275798492.6763
RUSSIA|1997|468793213.3855
RUSSIA|1996|464463621.8953
RUSSIA|1995|463464473.9385
RUSSIA|1994|459884926.7532
RUSSIA|1993|462392206.8613
RUSSIA|1992|468380941.5587
SAUDI ARABIA|1998|279378137.1975
SAUDI ARABIA|1997|467653569.2806
SAUDI ARABIA|1996|478596317.5015
SAUDI ARABIA|1995|477055436.3485
SAUDI ARABIA|1994|471085362.0711
SAUDI ARABIA|1993|468645363.7015
SAUDI ARABIA|1992|479819120.2376
UNITED KINGDOM|1998|269932152.2635
UNITED KINGDOM|1997|463575539.6379
UNITED KINGDOM|1996|467451217.6874
UNITED KINGDOM|1995|465308981.2708
UNITED KINGDOM|1994|466317400.9398
UNITED KINGDOM|1993|467140902.3099
UNITED KINGDOM|1992|464629409.6613
UNITED STATES|1998|271746698.7703
UNITED STATES|1997|466200287.2350
UNITED STATES|1996|466726897.7640
UNITED STATES|1995|470797066.3205
UNITED STATES|1994|476447816.2560
UNITED STATES|1993|460120427.2978
UNITED STATES|1992|468157792.3023
VIETNAM|1998|272979518.3274
VIETNAM|1997|473777590.7684
VIETNAM|1996|466048777.1537
VIETNAM|1995|468658193.1331
VIETNAM|1994|478019622.5095
VIETNAM|1993|469271925.6739
VIETNAM|1992|463962943.8714
