ps_partkey|value
16036036|23649655.33
17367252|22489140.14
4374484|22044999.19
17187643|21691256.18
1508568|21613789.59
13194737|21608873.36
6053362|20740203.91
12321311|20406325.41
15560083|20401600.81
1985583|20348636.97
8646398|20166524.09
13124461|19764781.46
17494990|19597480.95
14106091|19463810.72
515661|19458716.70
1810815|19450404.87
16104992|19380775.50
14742905|19278139.75
19873138|19229748.26
5158753|19078887.75
12459542|19077738.73
14748743|19053022.80
13593307|19048383.30
180705|19045324.81
12951128|19027514.44
6413520|18966528.85
16781099|18949223.63
18026884|18919901.58
15946568|18901297.84
17647672|18856239.05
5454654|18833685.09
17827304|18725105.30
514157|18723916.86
1382227|18673965.25
18767939|18602903.40
3460079|18541836.21
11777241|18510939.99
11974402|18499497.57
5311503|18468101.89
19648648|18424868.90
15759472|18349910.97
19555326|18308738.93
1556777|18256994.42
8344054|18251891.82
13463957|18219070.11
7100078|18190196.52
6742223|18183310.69
6090057|18162952.71
3691099|18159371.02
13944377|18141722.83
365776|18138711.55
17870432|18132181.40
4035948|18125826.83
10387407|18105409.45
8646118|18081776.90
18265177|18026036.11
10611910|18003822.65
2571622|18000364.31
10839227|17978894.32
513705|17958754.71
7121931|17954204.54
17658381|17935338.55
3539498|17932746.71
11031820|17928804.34
5133141|17908957.41
4866089|17902288.42
14378936|17860482.02
1469466|17853724.12
1985387|17838572.54
11434100|17835830.77
2157316|17832219.92
17093962|17829869.67
5729948|17787215.55
4708791|17762549.84
14180957|17758696.08
7035096|17757224.32
6496290|17746399.90
15599211|17729147.28
1567743|17726994.36
14077518|17722497.77
13261428|17708509.16
17465461|17693343.98
13038334|17664388.44
18932518|17658265.05
5082615|17651519.52
16315922|17645049.22
7256822|17637635.84
12225531|17635198.74
9679443|17613526.59
17764770|17591972.04
10010120|17588032.84
14063218|17568088.46
9642334|17561961.54
19442273|17550861.23
5883341|17528920.50
1783902|17501964.29
16280250|17500363.40
12696989|17499566.71
636864|17497615.82
13758505|17484541.95
16257370|17477520.60
13876480|17463925.83
5665149|17461323.15
12202756|17455255.62
5908317|17443766.55
10543883|17442089.36
6351640|17430038.67
10736701|17429066.92
3446640|17407735.64
6604164|17398600.43
6894637|17391576.65
1407371|17362555.79
14687684|17339164.53
3400804|17289892.16
6601458|17262073.47
3514650|17257771.91
14250404|17248497.03
3541414|17236384.83
4987037|17231015.28
10619158|17226613.56
6322441|17218615.42
13745802|17207774.23
6728961|17203969.41
6362568|17194725.99
18453990|17193435.36
4310824|17193074.90
17068605|17185800.20
4020559|17184061.32
2140490|17178679.53
12172782|17171575.35
17362546|17171172.71
11710055|17141904.29
5208706|17136964.17
21876|17132529.35
16403396|17121982.72
14877348|17113470.86
9894660|17112601.69
1222195|17105821.84
1215741|17091149.45
8071523|17081530.21
1061457|17081148.82
15680160|17072638.65
15966050|17065959.48
7322943|17065450.03
17702646|17050454.76
6650745|17024313.88
10796307|17018365.14
4396213|17011382.67
8642774|16997068.13
13554166|16981572.12
12073901|16974879.82
13505804|16973219.38
14478971|16966937.13
19594594|16965272.61
2667177|16957692.87
1165552|16941945.82
5114594|16937563.81
9764601|16932864.36
12858496|16931616.04
13297237|16928160.62
14081708|16927904.57
13162531|16926146.26
19086010|16906954.92
10659375|16903174.28
913304|16899520.76
13422848|16898878.97
14149177|16895753.76
2413164|16886909.20
7031946|16860087.73
15742686|16857593.22
4501054|16851616.99
5741754|16850138.00
11498892|16850010.29
13078922|16847035.80
11125041|16838033.42
1733581|16832610.02
10388371|16831771.79
2085015|16819547.25
10137457|16817245.58
9402109|16816315.80
7540008|16811906.37
16104521|16810190.96
2466342|16809039.50
7624835|16807246.45
277427|16806361.71
5800550|16804803.42
17822015|16798105.00
14211853|16796434.48
2939053|16792532.39
4174575|16788425.64
7841129|16784721.12
12471365|16783628.55
8508422|16783335.21
3072217|16780861.70
14106030|16779814.99
5127136|16775037.66
2192864|16771845.94
2118742|16770710.28
13550441|16759243.11
3113107|16756063.05
8831006|16745675.61
7288440|16741578.42
16198156|16736164.68
14956425|16732388.10
2001934|16729949.77
12642168|16729335.09
7949127|16718142.77
6046602|16716154.00
9352334|16715755.55
3636958|16713413.90
11607638|16709259.47
7393469|16704761.08
11472166|16695488.50
16057894|16686881.66
4654442|16686159.94
5456175|16682223.24
16095197|16677095.45
18582252|16674875.28
10606886|16667285.40
14481311|16661488.39
823668|16659349.92
10866531|16654508.48
14849586|16643729.56
15203304|16636178.48
2665158|16627579.28
4168353|16621489.86
11535949|16616278.14
10094393|16608697.72
3474612|16600103.94
14487309|16593227.99
3790507|16586816.98
13843691|16577443.18
12201625|16576513.25
7561443|16573611.95
12176751|16566717.24
19634056|16564949.48
18120483|16557782.84
11846303|16554331.53
8166096|16553661.90
19878524|16535344.31
19278531|16522193.52
9342926|16521343.59
7171664|16516000.06
18888757|16513135.58
5294881|16506709.23
2523791|16505749.60
17776606|16505603.64
18090681|16497925.67
17259918|16496949.76
7902878|16481936.06
16979770|16474762.40
17067773|16469022.75
14009962|16446903.18
6315172|16443945.18
13262031|16435614.40
11973449|16435420.88
12141783|16434620.86
16035395|16434009.74
7499514|16431853.95
7202459|16426626.52
13505507|16419873.38
4285761|16415962.24
15665237|16408323.58
3978432|16400873.67
3763034|16400115.85
9317368|16390659.16
5720673|16390645.70
2919651|16388140.67
2370959|16374570.46
13654543|16371138.57
2836849|16365133.47
3205827|16363435.80
19737313|16357693.41
5440527|16353341.54
12468909|16346444.91
11440204|16339347.87
10937905|16328780.13
19776949|16320549.23
18928232|16318051.46
15055300|16317874.25
17001414|16317503.82
1164094|16316458.12
16180318|16313792.64
12380088|16313451.98
17937633|16311859.72
388023|16308643.46
17425646|16308376.53
9033875|16299170.09
7604561|16296672.77
6368927|16293897.94
16098580|16293653.66
10265034|16292146.08
10572398|16290869.62
5855918|16285831.61
8588292|16285818.55
18872595|16275144.37
11156910|16271166.64
13112729|16270743.43
11846654|16262758.41
9058554|16260577.90
10530653|16259176.81
17295427|16257931.83
10813838|16251618.19
587673|16249936.41
8783031|16249633.56
4716247|16244922.82
16550579|16242838.76
5391771|16234672.44
18795356|16228938.80
7922334|16228715.71
2610353|16217972.62
16320907|16209416.54
13434305|16206369.78
7667004|16200251.37
9264635|16200203.04
12351526|16199029.48
14094734|16196756.33
2371691|16190880.31
5848994|16176988.11
9268022|16167685.41
19378797|16160648.40
17647277|16158997.44
14427874|16157103.32
3697219|16156397.96
4616163|16147868.84
7972308|16145489.07
9729432|16136564.12
13402146|16136464.02
10311427|16123161.20
17389426|16121756.83
1477213|16121093.70
17293306|16112431.72
18731490|16107175.58
11921254|16107130.37
