p_brand|p_type|p_size|supplier_cnt
Brand#14|SMALL BRUSHED BRASS|45|596
Brand#34|ECONOMY BURNISHED STEEL|23|592
Brand#44|PROMO POLISHED NICKEL|49|592
Brand#54|LARGE BURNISHED STEEL|36|584
Brand#14|ECONOMY BRUSHED COPPER|19|580
Brand#13|STANDARD BRUSHED BRASS|45|579
Brand#21|PROMO POLISHED TIN|36|579
Brand#12|STANDARD BRUSHED TIN|9|576
Brand#32|STANDARD ANODIZED COPPER|14|576
Brand#32|STANDARD BURNISHED STEEL|36|576
Brand#54|STANDARD BRUSHED TIN|49|576
Brand#25|ECONOMY POLISHED BRASS|36|575
Brand#54|LARGE PLATED STEEL|9|574
Brand#12|MEDIUM BURNISHED STEEL|36|572
Brand#22|PROMO POLISHED TIN|23|572
Brand#25|LARGE ANODIZED NICKEL|3|572
Brand#51|SMALL PLATED STEEL|36|572
Brand#25|STANDARD PLATED NICKEL|19|571
Brand#15|SMALL ANODIZED STEEL|36|570
Brand#12|ECONOMY BURNISHED TIN|14|568
Brand#22|PROMO POLISHED BRASS|45|566
Brand#53|ECONOMY PLATED NICKEL|23|566
Brand#54|PROMO PLATED STEEL|45|566
Brand#11|LARGE BRUSHED TIN|14|565
Brand#14|ECONOMY PLATED STEEL|14|564
Brand#15|STANDARD PLATED BRASS|19|564
Brand#31|STANDARD BURNISHED COPPER|23|564
Brand#35|LARGE PLATED NICKEL|9|564
Brand#41|SMALL PLATED COPPER|3|564
Brand#11|LARGE ANODIZED STEEL|9|563
Brand#23|ECONOMY PLATED NICKEL|3|563
Brand#54|PROMO BRUSHED COPPER|36|563
Brand#14|LARGE ANODIZED BRASS|23|560
Brand#23|ECONOMY BURNISHED TIN|9|560
Brand#33|ECONOMY BURNISHED TIN|45|560
Brand#41|PROMO BRUSHED STEEL|36|560
Brand#43|STANDARD BURNISHED TIN|23|560
Brand#51|SMALL POLISHED BRASS|49|560
Brand#55|SMALL BURNISHED BRASS|9|560
Brand#24|SMALL ANODIZED NICKEL|3|559
Brand#43|LARGE ANODIZED STEEL|23|559
Brand#43|LARGE PLATED COPPER|49|559
Brand#11|LARGE ANODIZED COPPER|23|556
Brand#11|SMALL BRUSHED STEEL|45|556
Brand#12|ECONOMY ANODIZED STEEL|19|556
Brand#12|LARGE POLISHED NICKEL|9|556
Brand#12|MEDIUM BURNISHED NICKEL|49|556
Brand#33|STANDARD BRUSHED TIN|14|556
Brand#34|MEDIUM BURNISHED COPPER|3|556
Brand#54|LARGE BRUSHED TIN|23|556
Brand#55|ECONOMY ANODIZED STEEL|14|556
Brand#13|PROMO PLATED COPPER|19|555
Brand#31|PROMO ANODIZED TIN|3|555
Brand#51|ECONOMY PLATED NICKEL|14|553
Brand#14|ECONOMY BRUSHED COPPER|14|552
Brand#22|ECONOMY BURNISHED COPPER|49|552
Brand#22|SMALL POLISHED NICKEL|36|552
Brand#34|ECONOMY BURNISHED COPPER|9|552
Brand#34|SMALL PLATED NICKEL|3|552
Brand#51|MEDIUM BRUSHED STEEL|3|552
Brand#53|LARGE BURNISHED COPPER|23|552
Brand#53|SMALL BRUSHED NICKEL|3|552
Brand#13|PROMO BRUSHED BRASS|45|551
Brand#41|ECONOMY PLATED BRASS|49|551
Brand#23|MEDIUM PLATED TIN|49|550
Brand#41|PROMO BRUSHED COPPER|9|550
Brand#11|STANDARD BURNISHED BRASS|23|548
