c_name|c_custkey|o_orderkey|o_orderdate|o_totalprice|sum(l_quantity)
Customer#011472112|11472112|458304292|1998-02-05|591036.15|322.00
Customer#012090925|12090925|501322081|1995-02-04|586945.44|319.00
Customer#001392379|1392379|332381222|1998-01-24|575600.00|311.00
Customer#013458721|13458721|333307747|1997-12-19|572334.88|319.00
Customer#008643083|8643083|84927619|1997-06-29|571417.48|316.00
Customer#010543705|10543705|163142919|1996-06-10|569798.10|313.00
Customer#000026377|26377|586594688|1992-04-14|569044.84|311.00
Customer#005914657|5914657|55799200|1996-02-11|568754.48|327.00
Customer#011461310|11461310|20662370|1992-07-22|566353.20|315.00
Customer#007682894|7682894|532736640|1993-07-22|563532.16|316.00
Customer#012070685|12070685|34201984|1997-06-18|563492.49|322.00
Customer#012878113|12878113|42290181|1997-11-26|563479.57|318.00
Customer#000506836|506836|116567399|1992-03-21|563342.71|319.00
Customer#012848143|12848143|501771233|1994-12-06|562642.03|317.00
Customer#003493022|3493022|182898470|1996-01-09|561296.06|318.00
Customer#013083751|13083751|28077922|1996-10-27|560893.88|319.00
Customer#006580315|6580315|343593507|1994-05-20|560058.60|321.00
Customer#009427249|9427249|48881602|1993-09-19|559502.82|327.00
Customer#009995401|9995401|530897159|1994-05-02|558771.77|305.00
Customer#006094567|6094567|156159680|1994-11-15|558037.12|308.00
Customer#006594658|6594658|555833473|1997-08-01|557961.99|324.00
Customer#005925541|5925541|446215044|1992-05-13|556993.03|318.00
Customer#007010650|7010650|587222276|1993-12-17|555946.71|329.00
Customer#008211575|8211575|218305350|1992-12-19|555691.15|316.00
Customer#005523215|5523215|499594150|1997-12-30|552295.59|322.00
Customer#003592226|3592226|94936672|1992-02-28|551850.29|307.00
Customer#006048598|6048598|45897379|1994-05-30|550195.48|318.00
Customer#013889867|13889867|322196069|1992-12-24|549996.06|313.00
Customer#007847146|7847146|75799361|1994-06-22|549769.03|307.00
Customer#002538608|2538608|406952547|1992-04-14|549380.73|304.00
Customer#011113726|11113726|346088583|1996-02-21|548790.02|303.00
Customer#003262783|3262783|327814241|1997-04-16|548355.89|319.00
