s_name|s_address
Supplier#000000091|35WVnU7GLNbQDcc2TARavGtk6RB6ZCd46UAY
Supplier#000000157|1EmkCApL5iF
Supplier#000000197|3oYqODDUGH3XsHXmPuzYHW5NLU3,ONZl
Supplier#000000205|Alrx5TN,hdnG
Supplier#000000287|UQR8bUA4V2HxVbw9K
Supplier#000000354|wSLcCW40Q8
Supplier#000000361|MSi62aEN53KaoRAiaH4GEo3EsKMXSwpPGU
Supplier#000000402|JR8vWoCteJtJg3okRpt0r28KEo
Supplier#000000555|8Lp0QWPLFXrJrX1sTWkAEdzUsh5ke
Supplier#000000640|FwwyFbgz7c hHViKGT0OB
Supplier#000000710|MZR2bxctPrbC2vHho0CbuOBkLJMpqOwghC
Supplier#000000736|GUIYDfv5xCxLgDx6KQ8khY ntVVnFqmfMKIgT
Supplier#000000761|tF8fMGa6HY4 w77mDwT4rO21kxwe7uTSYNW
Supplier#000000848|zuWWhrxl0hEvZ
Supplier#000000884|QEJm8KMHQ8
Supplier#000000887|y mQ7NHjVbdqnbYr9 L
Supplier#000000935|JHRSOterYgt4MTNo7cupTzA,6MoNw 4
Supplier#000000975|1qorM1ypBdwgPVuf6sMCKuF9D1rJN1iCTXKmalSt
Supplier#000001033|rUuZb1VUz5kGPWnB5t6vYYD0oKi
Supplier#000001367|XY28GmOq3efOxOzBMmMLdmWjMpo
Supplier#000001426|QbcoO0TUClFSzfy90Lk k
Supplier#000001454|8cBIELxY754iHJIgRXJ0
Supplier#000001500|wnElVvfuyaPJROy6x0
Supplier#000001626|7Jud9t6xZNzlEB,
Supplier#000001693|NtcIoaDx 4uzTVj94GpcePeXETxRm8 dX9EG0
Supplier#000001699|bRoW MhYUCJH5bABOA53N9i
Supplier#000001726|8M92T8y7jYXzmvCANTtqR8GHuT
Supplier#000001730|aOSM0,btPDs UsC06himJn,6nswJG
Supplier#000001806|fRXWLy18Df5
Supplier#000001931|mBhPe7YJU1aYMpwTiRdivl
Supplier#000001958|Qhq1lJz2sA9lQzBBY3ac6v mBlKy7MSrZOO7R9h
Supplier#000001990|o8nhGpKphsybKZtye0o6OfDz9GIcuGHjMs7pq
Supplier#000002022|sNvMPl3TiNZBOYV3w2XX
Supplier#000002218|Ecn1vWAWNusGB,gW
Supplier#000002245|KsYA4445HcugJAb3eCmvtUslGA7Qne
Supplier#000002265| 2gDJVukccmF0nSiHOJWxAO81s,0zKC
Supplier#000002282|n8YZgSNuC4,iZ7s5oHTMHNFdv94DwZ2rrUEb0pgD
Supplier#000002303|EoC4LCpU2cuEPKcKyTFyMGFBGkF
Supplier#000002419|BtNpaOZWiVGVE53RWL22
Supplier#000002444|BSuVrrlq0rSsL3962GDUUGPXC0rQKl
Supplier#000002460|wxSpYNr24kDgerLJrMYX7aD02oTRMN7ii33
