what;name;dealloc_function_name;mandatory;deprecated;note;

type;idx_t;;;0;;

enum;duckdb_type;;;0;;
enum;duckdb_state;;;0;;
enum;duckdb_pending_state;;;0;;
enum;duckdb_result_type;;;0;;
enum;duckdb_statement_type;;;0;;

struct;duckdb_date;;;0;;
struct;duckdb_date_struct;;;0;;
struct;duckdb_time;;;0;;
struct;duckdb_time_struct;;;0;;
struct;duckdb_time_tz;;;0;;
struct;duckdb_time_tz_struct;;;0;;
struct;duckdb_timestamp;;;0;;
struct;duckdb_timestamp_struct;;;0;;
struct;duckdb_interval;;;0;;
struct;duckdb_hugeint;;;0;;
struct;duckdb_uhugeint;;;0;;
struct;duckdb_decimal;;;0;;
struct;duckdb_query_progress_type;;;0;;
struct;duckdb_string_t;;;0;non-owning;
struct;duckdb_list_entry;;;0;;
struct;duckdb_column;;;0;direct operations on this are deprecated;
struct;duckdb_vector;;;0;lives inside the data chunk;

struct;duckdb_string;duckdb_free;0;0;free string.data;
struct;duckdb_blob;duckdb_free;1;0;free blob.data;
struct;duckdb_result;duckdb_destroy_result;1;0;;
struct;duckdb_database;duckdb_close;0;0;highly recommended to close;
struct;duckdb_connection;duckdb_disconnect;1;0;;
struct;duckdb_prepared_statement;duckdb_destroy_prepare;1;0;;
struct;duckdb_extracted_statements;duckdb_destroy_extracted;1;0;;
struct;duckdb_pending_result;duckdb_destroy_pending;1;0;;
struct;duckdb_appender;duckdb_appender_destroy;1;0;;
struct;duckdb_config;duckdb_destroy_config;1;0;;

struct;duckdb_logical_type;duckdb_destroy_logical_type;1;0;;
struct;duckdb_data_chunk;duckdb_destroy_data_chunk;1;0;;
struct;duckdb_value;duckdb_destroy_value;1;0;;

struct;duckdb_arrow;duckdb_destroy_arrow;1;0;;
struct;duckdb_arrow_stream;duckdb_destroy_arrow_stream;1;0;;
struct;duckdb_arrow_schema;;;0;;
struct;duckdb_arrow_array;;;0;;

function;duckdb_open;duckdb_close;0;0;no data corruption, but recommended;
function;duckdb_open_ext;duckdb_free;0;0;freeing concerns the out_error;
function;duckdb_close;;;0;;
function;duckdb_connect;duckdb_disconnect;1;0;;
function;duckdb_interrupt;;;0;;
function;duckdb_query_progress;;;0;;
function;duckdb_disconnect;;;0;;
function;duckdb_library_version;;;0;;

function;duckdb_create_config;duckdb_destroy_config;1;0;;
function;duckdb_config_count;;;0;;
function;duckdb_get_config_flag;;;0;;
function;duckdb_set_config;;;0;;
function;duckdb_destroy_config;;;0;;

function;duckdb_query;duckdb_destroy_result;1;0;;
function;duckdb_destroy_result;;;0;;
function;duckdb_column_name;;;0;;
function;duckdb_column_type;;;0;;
function;duckdb_result_statement_type;;;0;;
function;duckdb_column_logical_type;duckdb_destroy_logical_type;1;0;;
function;duckdb_column_count;;;0;;
function;duckdb_row_count;;;0;;
function;duckdb_rows_changed;;;0;;
function;duckdb_column_data;;;1;;
function;duckdb_nullmask_data;;;1;;
function;duckdb_result_error;;;0;;

function;duckdb_result_get_chunk;duckdb_destroy_data_chunk;1;0;;
function;duckdb_result_is_streaming;;;0;;
function;duckdb_result_chunk_count;;;0;;
function;duckdb_result_return_type;;;0;;

function;duckdb_value_boolean;;;0;;
function;duckdb_value_int8;;;0;;
function;duckdb_value_int16;;;0;;
function;duckdb_value_int32;;;0;;
function;duckdb_value_int64;;;0;;
function;duckdb_value_hugeint;;;0;;
function;duckdb_value_uhugeint;;;0;;
function;duckdb_value_decimal;;;0;;
function;duckdb_value_uint8;;;0;;
function;duckdb_value_uint16;;;0;;
function;duckdb_value_uint32;;;0;;
function;duckdb_value_uint64;;;0;;
function;duckdb_value_float;;;0;;
function;duckdb_value_double;;;0;;
function;duckdb_value_date;;;0;;
function;duckdb_value_time;;;0;;
function;duckdb_value_timestamp;;;0;;
function;duckdb_value_interval;;;0;;
function;duckdb_value_varchar;duckdb_free;1;1;;
function;duckdb_value_string;duckdb_free;1;0;free string.data;
function;duckdb_value_varchar_internal;;;1;;
function;duckdb_value_string_internal;;;1;;
function;duckdb_value_blob;duckdb_free;1;0;free blob.data;
function;duckdb_value_is_null;;;0;;

function;duckdb_malloc;duckdb_free;1;0;;
function;duckdb_free;;;0;;
function;duckdb_vector_size;;;0;;
function;duckdb_string_is_inlined;;;0;;

function;duckdb_from_date;;;0;;
function;duckdb_to_date;;;0;;
function;duckdb_is_finite_date;;;0;;
function;duckdb_from_time;;;0;;
function;duckdb_create_time_tz;;;0;;
function;duckdb_from_time_tz;;;0;;
function;duckdb_to_time;;;0;;
function;duckdb_from_timestamp;;;0;;
function;duckdb_to_timestamp;;;0;;
function;duckdb_is_finite_timestamp;;;0;;

function;duckdb_hugeint_to_double;;;0;;
function;duckdb_double_to_hugeint;;;0;;

function;duckdb_uhugeint_to_double;;;0;;
function;duckdb_double_to_uhugeint;;;0;;

function;duckdb_double_to_decimal;;;0;;
function;duckdb_decimal_to_double;;;0;;

function;duckdb_prepare;duckdb_destroy_prepare;1;0;;
function;duckdb_destroy_prepare;;;0;;
function;duckdb_prepare_error;;;0;;
function;duckdb_nparams;;;0;;
function;duckdb_parameter_name;duckdb_free;1;0;;
function;duckdb_param_type;;;0;;
function;duckdb_clear_bindings;;;0;;
function;duckdb_prepared_statement_type;;;0;;

function;duckdb_bind_value;;;0;;
function;duckdb_bind_parameter_index;;;0;;
function;duckdb_bind_boolean;;;0;;
function;duckdb_bind_int8;;;0;;
function;duckdb_bind_int16;;;0;;
function;duckdb_bind_int32;;;0;;
function;duckdb_bind_int64;;;0;;
function;duckdb_bind_hugeint;;;0;;
function;duckdb_bind_uhugeint;;;0;;
function;duckdb_bind_decimal;;;0;;
function;duckdb_bind_uint8;;;0;;
function;duckdb_bind_uint16;;;0;;
function;duckdb_bind_uint32;;;0;;
function;duckdb_bind_uint64;;;0;;
function;duckdb_bind_float;;;0;;
function;duckdb_bind_double;;;0;;
function;duckdb_bind_date;;;0;;
function;duckdb_bind_time;;;0;;
function;duckdb_bind_timestamp;;;0;;
function;duckdb_bind_interval;;;0;;
function;duckdb_bind_varchar;;;0;;
function;duckdb_bind_varchar_length;;;0;;
function;duckdb_bind_blob;;;0;;
function;duckdb_bind_null;;;0;;









