nation   |o_year  |sum_profit    
ALGERIA   |  1998|27136900.18
ALGERIA   |  1997|48611833.50
ALGERIA   |  1996|48285482.68
ALGERIA   |  1995|44402273.60
ALGERIA   |  1994|48694008.07
ALGERIA   |  1993|46044207.78
ALGERIA   |  1992|45636849.49
ARGENTINA  |  1998|28341663.78
ARGENTINA  |  1997|47143964.12
ARGENTINA  |  1996|45255278.60
ARGENTINA  |  1995|45631769.21
ARGENTINA  |  1994|48268856.35
ARGENTINA  |  1993|48605593.62
ARGENTINA  |  1992|46654240.75
BRAZIL   |  1998|26527736.40
BRAZIL   |  1997|45640660.77
BRAZIL   |  1996|45090647.16
BRAZIL   |  1995|44015888.51
BRAZIL   |  1994|44854218.89
BRAZIL   |  1993|45766603.74
BRAZIL   |  1992|45280216.80
CANADA   |  1998|26828985.39
CANADA   |  1997|44849954.32
CANADA   |  1996|46307936.11
CANADA   |  1995|47311993.04
CANADA   |  1994|46691491.96
CANADA   |  1993|46634791.11
CANADA   |  1992|45873849.69
CHINA   |  1998|27510180.17
CHINA   |  1997|46123865.41
CHINA   |  1996|49532807.06
CHINA   |  1995|46734651.48
CHINA   |  1994|46397896.61
CHINA   |  1993|49634673.95
CHINA   |  1992|46949457.64
EGYPT   |  1998|28401491.80
EGYPT   |  1997|47674857.68
EGYPT   |  1996|47745727.55
EGYPT   |  1995|45897160.68
EGYPT   |  1994|47194895.23
EGYPT   |  1993|49133627.65
EGYPT   |  1992|47000574.50
ETHIOPIA   |  1998|25135046.14
ETHIOPIA   |  1997|43010596.08
ETHIOPIA   |  1996|43636287.19
ETHIOPIA   |  1995|43575757.33
ETHIOPIA   |  1994|41597208.53
ETHIOPIA   |  1993|42622804.16
ETHIOPIA   |  1992|44385735.68
FRANCE   |  1998|26210392.28
FRANCE   |  1997|42392969.47
FRANCE   |  1996|43306317.97
FRANCE   |  1995|46377408.43
FRANCE   |  1994|43447352.99
FRANCE   |  1993|43729961.06
FRANCE   |  1992|44052308.43
GERMANY   |  1998|25991257.11
GERMANY   |  1997|43968355.81
GERMANY   |  1996|45882074.80
GERMANY   |  1995|43314338.31
GERMANY   |  1994|44616995.44
GERMANY   |  1993|45126645.91
GERMANY   |  1992|44361141.21
INDIA   |  1998|29626417.24
INDIA   |  1997|51386111.34
INDIA   |  1996|47571018.51
INDIA   |  1995|49344062.28
INDIA   |  1994|50106952.43
INDIA   |  1993|48112766.70
INDIA   |  1992|47914303.12
INDONESIA  |  1998|27734909.68
INDONESIA  |  1997|44593812.99
INDONESIA  |  1996|44746729.81
INDONESIA  |  1995|45593622.70
INDONESIA  |  1994|45988483.88
INDONESIA  |  1993|46147963.79
INDONESIA  |  1992|45185777.07
IRAN   |  1998|26661608.93
IRAN   |  1997|45019114.17
IRAN   |  1996|45891397.10
IRAN   |  1995|44414285.23
IRAN   |  1994|43696360.48
IRAN   |  1993|45362775.81
IRAN   |  1992|43052338.41
IRAQ   |  1998|31188498.19
IRAQ   |  1997|48585307.52
IRAQ   |  1996|50036593.84
IRAQ   |  1995|48774801.73
IRAQ   |  1994|48795847.23
IRAQ   |  1993|47435691.51
IRAQ   |  1992|47562355.66
JAPAN   |  1998|24694102.17
JAPAN   |  1997|42377052.35
JAPAN   |  1996|40267778.91
JAPAN   |  1995|40925317.47
JAPAN   |  1994|41159518.31
JAPAN   |  1993|39589074.28
JAPAN   |  1992|39113493.91
JORDAN   |  1998|23489867.79
JORDAN   |  1997|41615962.66
JORDAN   |  1996|41860855.47
JORDAN   |  1995|39931672.09
JORDAN   |  1994|40707555.46
JORDAN   |  1993|39060405.47
JORDAN   |  1992|41657604.27
KENYA   |  1998|25566337.43
KENYA   |  1997|43108847.90
KENYA   |  1996|43482953.54
KENYA   |  1995|42517988.98
KENYA   |  1994|43612479.45
KENYA   |  1993|42724038.76
KENYA   |  1992|43217106.21
MOROCCO   |  1998|24915496.88
MOROCCO   |  1997|42698382.85
MOROCCO   |  1996|42986113.50
MOROCCO   |  1995|42316089.16
MOROCCO   |  1994|43458604.60
MOROCCO   |  1993|42672288.07
MOROCCO   |  1992|42800781.64
MOZAMBIQUE  |  1998|28279876.03
MOZAMBIQUE  |  1997|51159216.23
MOZAMBIQUE  |  1996|48072525.06
MOZAMBIQUE  |  1995|48905200.60
MOZAMBIQUE  |  1994|46092076.28
MOZAMBIQUE  |  1993|48555926.27
MOZAMBIQUE  |  1992|47809075.12
PERU   |  1998|26713966.27
PERU   |  1997|48324008.60
PERU   |  1996|50310008.86
PERU   |  1995|49647080.96
PERU   |  1994|46420910.28
PERU   |  1993|51536906.25
PERU   |  1992|47711665.31
ROMANIA   |  1998|27271993.10
ROMANIA   |  1997|45063059.20
ROMANIA   |  1996|47492335.03
ROMANIA   |  1995|45710636.29
ROMANIA   |  1994|46088041.11
ROMANIA   |  1993|47515092.56
ROMANIA   |  1992|44111439.80
RUSSIA   |  1998|27935323.73
RUSSIA   |  1997|48222347.29
RUSSIA   |  1996|47553559.49
RUSSIA   |  1995|46755990.10
RUSSIA   |  1994|48000515.62
RUSSIA   |  1993|48569624.51
RUSSIA   |  1992|47672831.53
SAUDI ARABIA  |  1998|27113516.84
SAUDI ARABIA  |  1997|46690468.96
SAUDI ARABIA  |  1996|47775782.67
SAUDI ARABIA  |  1995|46657107.83
SAUDI ARABIA  |  1994|48181672.81
SAUDI ARABIA  |  1993|45692556.44
SAUDI ARABIA  |  1992|48924913.27
UNITED KINGDOM  |  1998|26366682.88
UNITED KINGDOM  |  1997|44518130.19
UNITED KINGDOM  |  1996|45539729.62
UNITED KINGDOM  |  1995|46845879.34
UNITED KINGDOM  |  1994|43081609.57
UNITED KINGDOM  |  1993|44770146.76
UNITED KINGDOM  |  1992|44123402.55
UNITED STATES  |  1998|27826593.68
UNITED STATES  |  1997|46638572.36
UNITED STATES  |  1996|46688280.55
UNITED STATES  |  1995|48951591.62
UNITED STATES  |  1994|45099092.06
UNITED STATES  |  1993|46181600.53
UNITED STATES  |  1992|46168214.09
VIETNAM   |  1998|27281931.00
VIETNAM   |  1997|48735914.18
VIETNAM   |  1996|47824595.90
VIETNAM   |  1995|48235135.80
VIETNAM   |  1994|47729256.33
VIETNAM   |  1993|45352676.87
VIETNAM   |  1992|47846355.65
