"Books                                             "|"arts                                              "|"amalgmaxi #12                                     "||||||1713760.68|24
"Books                                             "|"arts                                              "|"amalgmaxi #2                                      "||||||852004.32|93
"Books                                             "|"arts                                              "|"amalgmaxi #3                                      "||||||833997.85|96
"Books                                             "|"arts                                              "|"amalgmaxi #9                                      "||||||835783.52|95
"Books                                             "|"arts                                              "|||||||5406237.29|17
"Books                                             "|"business                                          "|"importomaxi #12                                   "||||||1210196.33|55
"Books                                             "|"business                                          "|"importomaxi #2                                    "||||||1032866.23|75
"Books                                             "|"business                                          "|"importomaxi #6                                    "||||||954905.08|81
"Books                                             "|"business                                          "|"importomaxi #8                                    "||||||1043575.02|74
"Books                                             "|"business                                          "|"importomaxi #9                                    "||||||1362991.94|42
"Books                                             "|"business                                          "|||||||6273133.48|12
"Books                                             "|"computers                                         "|"exportimaxi #12                                   "||||||1489234.06|35
"Books                                             "|"computers                                         "|"exportimaxi #2                                    "||||||1896609.33|21
"Books                                             "|"computers                                         "|"exportimaxi #3                                    "||||||1025228.83|76
"Books                                             "|"computers                                         "|"exportimaxi #6                                    "||||||977045.91|78
"Books                                             "|"computers                                         "|"exportimaxi #8                                    "||||||1248154.58|53
"Books                                             "|"computers                                         "|"exportimaxi #9                                    "||||||1148637.22|64
"Books                                             "|"computers                                         "|||||||7794398.72|5
"Books                                             "|"cooking                                           "|"amalgunivamalg #12                                "||||||1198169.56|57
"Books                                             "|"cooking                                           "|"amalgunivamalg #3                                 "||||||1192230.28|59
"Books                                             "|"cooking                                           "|"amalgunivamalg #6                                 "||||||841910.61|94
"Books                                             "|"cooking                                           "|"amalgunivamalg #8                                 "||||||1052687.33|73
"Books                                             "|"cooking                                           "|"amalgunivamalg #9                                 "||||||960915.17|80
"Books                                             "|"cooking                                           "|||||||5947960.72|14
"Books                                             "|"entertainments                                    "|"edu packmaxi #12                                  "||||||952398.60|82
"Books                                             "|"entertainments                                    "|"edu packmaxi #2                                   "||||||1103070.19|67
"Books                                             "|"entertainments                                    "|"edu packmaxi #3                                   "||||||1518059.93|34
"Books                                             "|"entertainments                                    "|"edu packmaxi #6                                   "||||||855451.38|91
"Books                                             "|"entertainments                                    "|"edu packmaxi #8                                   "||||||971475.32|79
"Books                                             "|"entertainments                                    "|||||||5968937.89|13
"Books                                             "|"fiction                                           "|"scholarunivamalg #12                              "||||||1169553.14|63
"Books                                             "|"fiction                                           "|"scholarunivamalg #2                               "||||||2036423.70|19
"Books                                             "|"fiction                                           "|"scholarunivamalg #3                               "||||||1350491.60|44
"Books                                             "|"fiction                                           "|"scholarunivamalg #6                               "||||||1094434.26|68
"Books                                             "|"fiction                                           "|"scholarunivamalg #8                               "||||||1437714.35|37
"Books                                             "|"fiction                                           "|"scholarunivamalg #9                               "||||||1398380.82|40
"Books                                             "|"fiction                                           "|||||||8491965.57|3
"Books                                             "|"history                                           "|"scholarmaxi #12                                   "||||||1559459.50|32
"Books                                             "|"history                                           "|"scholarmaxi #2                                    "||||||1675489.04|26
"Books                                             "|"history                                           "|"scholarmaxi #3                                    "||||||1191980.47|60
"Books                                             "|"history                                           "|"scholarmaxi #6                                    "||||||1259488.94|52
"Books                                             "|"history                                           "|"scholarmaxi #8                                    "||||||1312982.48|50
"Books                                             "|"history                                           "|"scholarmaxi #9                                    "||||||2296352.89|18
"Books                                             "|"history                                           "|||||||9309227.36|2
"Books                                             "|"home repair                                       "|"importounivamalg #12                              "||||||950667.43|83
"Books                                             "|"home repair                                       "|"importounivamalg #2                               "||||||1610447.80|29
"Books                                             "|"home repair                                       "|"importounivamalg #3                               "||||||1432555.36|38
"Books                                             "|"home repair                                       "|"importounivamalg #6                               "||||||767670.53|98
"Books                                             "|"home repair                                       "|"importounivamalg #8                               "||||||1780483.80|23
"Books                                             "|"home repair                                       "|"importounivamalg #9                               "||||||1141423.71|65
"Books                                             "|"home repair                                       "|||||||7687710.93|7
"Books                                             "|"mystery                                           "|"corpunivamalg #12                                 "||||||1181587.90|62
"Books                                             "|"mystery                                           "|"corpunivamalg #3                                  "||||||1400043.26|39
"Books                                             "|"mystery                                           "|"corpunivamalg #6                                  "||||||1068871.96|70
"Books                                             "|"mystery                                           "|"corpunivamalg #8                                  "||||||753526.29|99
"Books                                             "|"mystery                                           "|||||||5904450.57|16
"Books                                             "|"parenting                                         "|"corpmaxi #12                                      "||||||1093744.79|69
"Books                                             "|"parenting                                         "|"corpmaxi #2                                       "||||||892078.77|87
"Books                                             "|"parenting                                         "|"corpmaxi #6                                       "||||||1871858.23|22
"Books                                             "|"parenting                                         "|"corpmaxi #8                                       "||||||751351.88|100
"Books                                             "|"parenting                                         "|"corpmaxi #9                                       "||||||1053081.36|72
"Books                                             "|"parenting                                         "|||||||6368534.43|11
"Books                                             "|"reference                                         "|"brandmaxi #12                                     "||||||1355414.53|43
"Books                                             "|"reference                                         "|"brandmaxi #2                                      "||||||1313167.83|49
"Books                                             "|"reference                                         "|"brandmaxi #3                                      "||||||1324941.92|47
"Books                                             "|"reference                                         "|"brandmaxi #6                                      "||||||1320458.81|48
"Books                                             "|"reference                                         "|"brandmaxi #8                                      "||||||1460240.29|36
"Books                                             "|"reference                                         "|"brandmaxi #9                                      "||||||919265.14|85
"Books                                             "|"reference                                         "|||||||7699002.72|6
"Books                                             "|"romance                                           "|"namelessmaxi #12                                  "||||||1654036.86|28
"Books                                             "|"romance                                           "|"namelessmaxi #2                                   "||||||1382828.78|41
"Books                                             "|"romance                                           "|"namelessmaxi #3                                   "||||||1952366.88|20
"Books                                             "|"romance                                           "|"namelessmaxi #6                                   "||||||1348825.22|45
"Books                                             "|"romance                                           "|"namelessmaxi #8                                   "||||||853817.21|92
"Books                                             "|"romance                                           "|"namelessmaxi #9                                   "||||||892616.53|86
"Books                                             "|"romance                                           "|||||||8100997.08|4
